run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__specialization__s0,dmlab_seekavoid,cvae,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.31574074074074077,2.70030840838397,1.0,,84,18,18,18
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__conflation__s0,lichess_top3,inr_transformer_history_conditioned,conflation,0,0.908695652173913,0.908695652173913,0.8463768115942029,0.972463768115942,nan,nan,nan,nan,,0.19702316322837496,4.715968816469339,1.0,,3217,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__single_shift__s0,lichess_top3,inr_transformer_fitted_latent,single_shift,0,0.6101449275362318,0.6101449275362318,0.5869565217391305,0.9710144927536232,nan,nan,nan,nan,,0.20661418747737967,4.455389853279702,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_diffusion_history_conditioned__single_shift__s1,dmlab_seekavoid,inr_diffusion_history_conditioned,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.22148148148148147,0.0,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__generalization__s1,dmlab_seekavoid,inr_transformer_fitted_latent,generalization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.525,1.5085896470811633,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__new_policy__s1,lichess_top3,inr_diffusion_history_conditioned,new_policy,1,0.48086290883785665,0.7182952182952183,0.4405010438413361,0.6499652052887961,0.06270064413547516,nan,nan,nan,,0.000969379027199635,0.0,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__generalization__s1,lichess_top3,cvae,generalization,1,0.6351351351351351,0.6351351351351351,0.5758835758835759,0.974012474012474,nan,nan,nan,nan,,0.04421374218551102,5.970210044381507,1.0,,1924,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__conflation__s1,lichess_top3,inr_transformer_history_conditioned,conflation,1,0.9173913043478261,0.9173913043478261,0.8202898550724638,0.9768115942028985,nan,nan,nan,nan,,0.20414134593742966,4.718337483119514,1.0,,3217,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_diffusion_history_conditioned__single_shift__s0,dmlab_seekavoid,inr_diffusion_history_conditioned,single_shift,0,0.7777777777777778,0.7777777777777778,0.8333333333333334,1.0,nan,nan,nan,nan,,0.22611111111111112,0.0,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__conflation__s1,lichess_top3,cvae,conflation,1,0.8942028985507247,0.8942028985507247,0.7478260869565218,0.9579710144927536,nan,nan,nan,nan,,0.15331982894440693,5.143704743592449,1.0,,3217,690,690,205
