run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_transformer_fitted_latent_shuffle__no_shift__s0,dmlab_seekavoid_full,inr_transformer_fitted_latent_shuffle,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.45694444444444443,1.6453203688727485,1.0,,118,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__cvae_rnn__conflation__s1,dmlab_seekavoid_full,cvae_rnn,conflation,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4820699046754426,1.5876136949481177,1.0,,84,18,18,6
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__cvae_rnn__single_shift__s1,dmlab_seekavoid_full,cvae_rnn,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.47957330912392193,1.6408241053792059,1.0,,118,18,18,6
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_transformer_history_conditioned_shuffle__generalization__s0,dmlab_seekavoid_full,inr_transformer_history_conditioned_shuffle,generalization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.41638888888888886,1.750308181974623,1.0,,50,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__vqvae__specialization__s0,dmlab_seekavoid_full,vqvae,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.3645066273932253,2.03195644373044,1.0,,118,12,12,12
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__state_action_bem__generalization__s0,dmlab_seekavoid_full,state_action_bem,generalization,0,0.7083333333333334,0.7083333333333334,0.7916666666666666,1.0,nan,nan,nan,nan,,0.23791666666666667,0.0,1.0,,50,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__cvae_rnn__generalization__s1,dmlab_seekavoid_full,cvae_rnn,generalization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.45513888888888887,1.6759517828623454,1.0,,50,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_transformer_fitted_latent_shuffle__specialization__s1,dmlab_seekavoid_full,inr_transformer_fitted_latent_shuffle,specialization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.3040317250495704,2.2055654784188077,1.0,,118,12,12,12
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__vqvae__single_shift__s1,dmlab_seekavoid_full,vqvae,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4900136177939174,1.6003660945745148,1.0,,118,18,18,6
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__cvae_rnn__specialization__s0,dmlab_seekavoid_full,cvae_rnn,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.38217967599410896,2.0202769755614876,1.0,,118,12,12,12
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_diffusion_history_conditioned_shuffle__single_shift__s1,dmlab_seekavoid_full,inr_diffusion_history_conditioned_shuffle,single_shift,1,0.9444444444444444,0.9444444444444444,1.0,1.0,nan,nan,nan,nan,,0.18588288697231048,0.0,1.0,,118,18,18,6
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__state_action_bem__generalization__s1,dmlab_seekavoid_full,state_action_bem,generalization,1,0.5416666666666666,0.5416666666666666,0.8333333333333334,0.9583333333333334,nan,nan,nan,nan,,0.26819444444444446,0.0,1.0,,50,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__state_action_bem__conflation__s1,dmlab_seekavoid_full,state_action_bem,conflation,1,0.9444444444444444,0.9444444444444444,0.5,1.0,nan,nan,nan,nan,,0.3633681343622333,0.0,1.0,,84,18,18,6
