run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_diffusion_history_conditioned__specialization__s1,droid_lowdim_full_10x,inr_diffusion_history_conditioned,specialization,1,0.8125,0.8125,nan,0.29909151792526245,0.3017373595917966,0.058785196393728256,0.5468926018198293,,,1.0,0.991231309009552,411,16,16,16
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_fitted_latent__novel_generalization__s0,droid_lowdim_full_10x,inr_transformer_fitted_latent,novel_generalization,0,0.3217391304347826,0.4157303370786517,0.0005230770329944789,0.15287722647190094,0.11727812934586183,0.05817338079214096,0.3909951744867204,,,1.0,1.303544210029602,76,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_diffusion_history_conditioned__no_shift__s1,droid_lowdim_full_10x,inr_diffusion_history_conditioned,no_shift,1,0.8539325842696629,0.8539325842696629,nan,0.2516202926635742,0.29053447929153525,0.031711921095848083,0.5016176757886172,,,1.0,0.8660600052604676,411,89,89,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__cvae__new_policy__s0,droid_lowdim_full_10x,cvae,new_policy,0,0.6347826086956522,0.8202247191011236,2.532433032989502,0.07509423047304153,0.0712783341535703,0.02526569738984108,0.27403326526726923,,,1.0,1.053535150123596,411,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_diffusion_history_conditioned__conflation__s1,droid_lowdim_full_10x,inr_diffusion_history_conditioned,conflation,1,0.9318181818181818,0.9318181818181818,nan,0.23801150918006897,0.29031255829736763,0.015066822990775108,0.48786423232295784,,,1.0,0.8198457227478028,202,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_diffusion_history_conditioned__single_shift__s1,droid_lowdim_full_10x,inr_diffusion_history_conditioned,single_shift,1,0.7954545454545454,0.7954545454545454,nan,0.2728884816169739,0.29368301268331665,0.03642892837524414,0.5223872908264269,,,1.0,0.9291939602622986,411,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_infer_latent_maml__new_policy__s1,droid_lowdim_full_10x,inr_transformer_infer_latent_maml,new_policy,1,0.5652173913043478,0.7303370786516854,2.9479668228304945e-05,0.07405035197734833,0.08763918893563731,0.02629534900188446,0.27212194321176736,,,1.0,0.8449456558952332,411,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__cvae__conflation__s1,droid_lowdim_full_10x,cvae,conflation,1,0.9318181818181818,0.9318181818181818,nan,0.07301189750432968,0.08905565459269862,0.02112770639359951,0.2702071381446643,,,1.0,0.8198457227478028,202,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_fitted_latent__specialization__s1,droid_lowdim_full_10x,inr_transformer_fitted_latent,specialization,1,0.625,0.625,nan,0.0771985799074173,0.07788149870342057,0.024365555495023727,0.27784632426472244,,,1.0,0.991231309009552,411,16,16,16
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__novel_generalization__s0,droid_lowdim_full_10x,inr_transformer_history_conditioned,novel_generalization,0,0.3391304347826087,0.43820224719101125,6.310540199279785,0.14642898738384247,0.11233143169000553,0.05248278006911278,0.38266040738994994,,,1.0,1.303544210029602,76,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__specialization__s0,droid_lowdim_full_10x,inr_transformer_history_conditioned,specialization,0,0.5625,0.5625,nan,0.011677999049425125,0.013908747196670148,0.0008422983810305595,0.10806479097941718,,,1.0,0.8396154509315491,411,16,16,16
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__conflation__s0,droid_lowdim_full_10x,inr_transformer_history_conditioned,conflation,0,0.9318181818181818,0.9318181818181818,nan,0.023057373240590096,0.020470754836305928,0.0016536314506083727,0.1518465450400176,,,1.0,1.126356767250061,202,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_infer_latent_maml__no_shift__s1,droid_lowdim_full_10x,inr_transformer_infer_latent_maml,no_shift,1,0.7303370786516854,0.7303370786516854,nan,0.0770518109202385,0.08896821288620199,0.02702721580862999,0.2775820796093265,,,1.0,0.8660600052604676,411,89,89,0
