run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_diffusion_history_conditioned__conflation__s0,droid_lowdim_full_10x_min200,inr_diffusion_history_conditioned,conflation,0,0.8846153846153846,0.8846153846153846,nan,0.150815948843956,0.14051998145033387,0.014285488054156303,0.3883502914173697,,,1.0,1.073270486427307,121,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_history_conditioned__new_policy__s1,droid_lowdim_full_10x_min200,inr_transformer_history_conditioned,new_policy,1,0.725,0.8787878787878788,3.0861194133758545,0.022898854687809944,0.027026109425063404,0.002212216379120946,0.15132367523890616,,,1.0,0.8472863899002075,156,40,40,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_diffusion_history_conditioned__specialization__s1,droid_lowdim_full_10x_min200,inr_diffusion_history_conditioned,specialization,1,1.0,1.0,nan,0.18145892024040222,0.23897486098659915,0.013157809153199196,0.4259799528621062,,,1.0,0.7593222127685547,156,6,6,6
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_fitted_latent__new_policy__s0,droid_lowdim_full_10x_min200,inr_transformer_fitted_latent,new_policy,0,0.625,0.7575757575757576,0.0011764542432501912,0.07065679132938385,0.073246145778106,0.023727191612124443,0.2658134521226942,,,1.0,0.9646485911140442,156,40,40,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__generalization__s0,droid_lowdim_full_10x_min200,cvae,generalization,0,0.8181818181818182,0.8181818181818182,nan,0.10951650142669678,0.07354155005698909,0.049197811633348465,0.3309327747846937,,,1.0,1.4891785846481322,32,33,33,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_history_conditioned__generalization__s1,droid_lowdim_full_10x_min200,inr_transformer_history_conditioned,generalization,1,0.7575757575757576,0.7575757575757576,nan,0.18821106851100922,0.16064821537730054,0.07289421558380127,0.4338329961068075,,,1.0,1.1715727315673827,32,33,33,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__novel_generalization__s1,droid_lowdim_full_10x_min200,cvae,novel_generalization,1,0.575,0.696969696969697,2.615476131439209,0.09482860565185547,0.08296793505892872,0.03904775530099869,0.3079425362821049,,,1.0,1.142954872680664,32,40,40,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_fitted_latent__novel_generalization__s1,droid_lowdim_full_10x_min200,inr_transformer_fitted_latent,novel_generalization,1,0.45,0.5454545454545454,0.0011292524868622422,0.1533994972705841,0.1342130830684539,0.06338266283273697,0.39166247876275323,,,1.0,1.142954872680664,32,40,40,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_history_conditioned__specialization__s0,droid_lowdim_full_10x_min200,inr_transformer_history_conditioned,specialization,0,0.8333333333333334,0.8333333333333334,nan,0.016533255577087402,0.020437700539762172,0.002299496904015541,0.128581707785701,,,1.0,0.8089586959609986,156,6,6,6
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__no_shift__s1,droid_lowdim_full_10x_min200,cvae,no_shift,1,0.9696969696969697,0.9696969696969697,nan,0.06761767715215683,0.07780665203134259,0.017623497173190117,0.26003399230130825,,,1.0,0.8690475092658997,156,33,33,0
