run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__generalization__s0,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,generalization,0,0.7902097902097902,0.7902097902097902,nan,0.3027004301548004,0.24430432584132722,0.16959159076213837,0.5501821790596279,,,1.0,1.2390301690826415,34,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__no_shift__s1,droid_lowdim_full_all_min300,cvae,no_shift,1,0.8391608391608392,0.8391608391608392,nan,0.05424339324235916,0.053083268776343034,0.017972519621253014,0.23290211085853035,,,1.0,1.0218548045883178,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__conflation__s0,droid_lowdim_full_all_min300,cvae,conflation,0,0.9908256880733946,0.9908256880733946,nan,0.05068867281079292,0.051261541416858486,0.015514607541263103,0.22514145067222277,,,1.0,0.9888245926628113,508,109,109,1
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__novel_generalization__s0,droid_lowdim_full_all_min300,cvae,novel_generalization,0,0.7098765432098766,0.8041958041958042,2.423063278198242,0.08693798631429672,0.07094485757841687,0.0383760966360569,0.29485248229292005,,,1.0,1.2254304157028197,34,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__new_policy__s0,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,new_policy,0,0.7901234567901234,0.8951048951048951,0.7555509805679321,0.25527653098106384,0.26248296572061613,0.03855816274881363,0.5052489791984383,,,1.0,0.9725451336631775,668,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__specialization__s1,droid_lowdim_full_all_min300,cvae,specialization,1,1.0,1.0,nan,0.048732955008745193,0.05502266713071685,0.012505258433520794,0.2207554189793428,,,1.0,0.8856887088546753,668,8,8,8
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__conflation__s1,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,conflation,1,0.9908256880733946,0.9908256880733946,nan,0.009638749063014984,0.009690955023408256,0.0006047039641998708,0.09817713105919822,,,1.0,0.994612918926239,508,109,109,1
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__specialization__s1,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,specialization,1,0.875,0.875,nan,0.008269179612398148,0.009336440139438384,0.0005526877357624471,0.09093502962224265,,,1.0,0.8856887088546753,668,8,8,8
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_fitted_latent__no_shift__s1,droid_lowdim_full_all_min300,inr_transformer_fitted_latent,no_shift,1,0.8041958041958042,0.8041958041958042,nan,0.05919019132852554,0.057924267775373364,0.020739231258630753,0.24329034368121877,,,1.0,1.0218548045883178,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__new_policy__s0,droid_lowdim_full_all_min300,cvae,new_policy,0,0.7716049382716049,0.8741258741258742,1.7764661312103271,0.0518716499209404,0.053335982182709844,0.016040684655308723,0.22775348498088982,,,1.0,0.9725451336631775,668,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__no_shift__s0,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,no_shift,0,0.8601398601398601,0.8601398601398601,nan,0.010528823360800743,0.010734418530262895,0.0005244158091954887,0.1026100548718338,,,1.0,0.980847107006073,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__no_shift__s1,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,no_shift,1,0.8811188811188811,0.8811188811188811,nan,0.26076164841651917,0.2551846380186803,0.04884348064661026,0.5106482629134453,,,1.0,1.0218548045883178,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__generalization__s1,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,generalization,1,0.7622377622377622,0.7622377622377622,nan,0.2938602566719055,0.22053836796394505,0.17249296605587006,0.5420887903949919,,,1.0,1.332467721534729,34,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__no_shift__s0,droid_lowdim_full_all_min300,cvae,no_shift,0,0.8951048951048951,0.8951048951048951,nan,0.05223064497113228,0.05325054699968533,0.01585271768271923,0.22854024803332187,,,1.0,0.980847107006073,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__no_shift__s1,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,no_shift,1,0.8041958041958042,0.8041958041958042,nan,0.01076003909111023,0.010529909966460652,0.0006357389502227306,0.10373060826540173,,,1.0,1.0218548045883178,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__no_shift__s0,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,no_shift,0,0.8881118881118881,0.8881118881118881,nan,0.25863590836524963,0.26368626314727794,0.03597239404916763,0.5085625904107081,,,1.0,0.980847107006073,668,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__novel_generalization__s0,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,novel_generalization,0,0.6975308641975309,0.7902097902097902,3.242368698120117,0.29788675904273987,0.2430874533760395,0.16560855507850647,0.5457900320111571,,,1.0,1.2254304157028197,34,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__single_shift__s0,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,single_shift,0,0.9724770642201835,0.9724770642201835,nan,0.009545475244522095,0.009037205490189512,0.0005259445169940591,0.0977009480226374,,,1.0,1.0562419162521361,668,109,109,1
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__conflation__s1,droid_lowdim_full_all_min300,cvae,conflation,1,0.9908256880733946,0.9908256880733946,nan,0.052215997129678726,0.05249881248883224,0.016626855358481407,0.22850819926138038,,,1.0,0.994612918926239,508,109,109,1
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__novel_generalization__s0,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,novel_generalization,0,0.6666666666666666,0.7552447552447552,3.6472442150115967,0.17065075039863586,0.1392578054305619,0.07663661986589432,0.41309895957099174,,,1.0,1.2254304157028197,34,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__conflation__s0,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,conflation,0,0.9908256880733946,0.9908256880733946,nan,0.009455320425331593,0.009562181700871038,0.0005060610128566623,0.0972384719405421,,,1.0,0.9888245926628113,508,109,109,1
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_diffusion_history_conditioned__specialization__s0,droid_lowdim_full_all_min300,inr_diffusion_history_conditioned,specialization,0,0.875,0.875,nan,0.3092796802520752,0.3238809946629272,0.04777217656373978,0.556129193849842,,,1.0,0.9549176560173035,668,8,8,8
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__novel_generalization__s1,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,novel_generalization,1,0.6728395061728395,0.7622377622377622,5.256720542907715,0.1954101175069809,0.14951215441772067,0.08240779489278793,0.4420521660471543,,,1.0,1.3069848285446166,34,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__generalization__s1,droid_lowdim_full_all_min300,cvae,generalization,1,0.7412587412587412,0.7412587412587412,nan,0.09569869190454483,0.0718206455270223,0.03951273486018181,0.3093520517218931,,,1.0,1.332467721534729,34,143,143,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__inr_transformer_history_conditioned__new_policy__s0,droid_lowdim_full_all_min300,inr_transformer_history_conditioned,new_policy,0,0.7592592592592593,0.8601398601398601,3.417647123336792,0.010608640499413013,0.010908121517666361,0.0005372376181185246,0.10299825483673504,,,1.0,0.9725451336631775,668,162,162,0
outputs/droid/all_min300_hk300/droid_lowdim_full_all_min300__cvae__generalization__s0,droid_lowdim_full_all_min300,cvae,generalization,0,0.8041958041958042,0.8041958041958042,nan,0.08827123790979385,0.07124220225819723,0.03867167606949806,0.2971047591503607,,,1.0,1.2390301690826415,34,143,143,0
