run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__specialization__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,specialization,0,0.0,0.0,0.0,0.0,nan,0.04476693272590637,0.08626410089784617,0.01674981787800789,0.21158197637300388,,,1.0,0.5189520583877564,148,2,2,2
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_infer_latent_maml__conflation__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_infer_latent_maml,conflation,0,0.8125,0.8125,0.8125,0.9375,nan,0.05547943338751793,0.06455298002869066,0.019003886729478836,0.23554072553916855,,,1.0,0.8594403134117127,82,16,16,1
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__conflation__s1,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,conflation,1,0.75,0.75,0.9375,0.9375,nan,0.07208237051963806,0.06516590571533931,0.025066886097192764,0.2684816018270862,,,1.0,1.1061362491378783,82,16,16,1
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__no_shift__s1,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,no_shift,1,0.7666666666666667,0.7666666666666667,0.6666666666666666,0.9666666666666667,nan,0.06780107319355011,0.06483512460163789,0.027104409411549568,0.26038639210517533,,,1.0,1.045746015144348,148,30,30,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__no_shift__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,no_shift,0,0.7666666666666667,0.7666666666666667,0.6,0.9333333333333333,nan,0.06902716308832169,0.07607560488372916,0.02897791750729084,0.26273020969869776,,,1.0,0.9073495136032105,148,30,30,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__cvae__specialization__s1,droid_lowdim_full_balanced_min300_remove,cvae,specialization,1,1.0,1.0,0.0,0.0,nan,0.0733155757188797,0.06791110502911506,0.038182325661182404,0.27076849100085426,,,1.0,1.079581545425415,148,2,2,2
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__novel_generalization__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,novel_generalization,0,0.3111111111111111,0.4666666666666667,0.4888888888888889,0.8888888888888888,0.00047584204003214836,0.1882774531841278,0.17966261709420667,0.087913878262043,0.4339094988406313,,,1.0,1.0479500756988525,16,45,45,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_diffusion_history_conditioned__specialization__s0,droid_lowdim_full_balanced_min300_remove,inr_diffusion_history_conditioned,specialization,0,1.0,1.0,0.0,0.0,nan,0.21059614419937134,0.40581040347664593,0.011424700729548931,0.45890755517791526,,,1.0,0.5189520583877564,148,2,2,2
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__generalization__s1,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,generalization,1,0.5,0.5,0.8,0.8666666666666667,nan,0.2729683518409729,0.1862598981639803,0.09652478247880936,0.5224637325604266,,,1.0,1.4655240045318603,16,30,30,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__single_shift__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,single_shift,0,0.625,0.625,0.8125,0.9375,nan,0.06669770926237106,0.0627381523615636,0.02553151734173298,0.25825899647905987,,,1.0,1.0631124244461059,148,16,16,1
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_history_conditioned__single_shift__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_history_conditioned,single_shift,0,0.9375,0.9375,0.8125,0.9375,nan,0.020056575536727905,0.018865902679274602,0.0031906464137136936,0.14162123970904897,,,1.0,1.0631124244461059,148,16,16,1
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_diffusion_history_conditioned__specialization__s1,droid_lowdim_full_balanced_min300_remove,inr_diffusion_history_conditioned,specialization,1,1.0,1.0,0.0,0.0,nan,0.19638600945472717,0.18190937987675604,0.022832298651337624,0.4431546112303551,,,1.0,1.079581545425415,148,2,2,2
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__cvae__specialization__s0,droid_lowdim_full_balanced_min300_remove,cvae,specialization,0,0.5,0.5,0.0,0.0,nan,0.04313695430755615,0.08312319724016703,0.012428686022758484,0.20769437716884911,,,1.0,0.5189520583877564,148,2,2,2
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_infer_latent_maml__new_policy__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_infer_latent_maml,new_policy,0,0.4888888888888889,0.7333333333333333,0.5111111111111111,0.8222222222222222,0.0005280132172629237,0.06474555283784866,0.07300708928248752,0.023428350687026978,0.25445147442655675,,,1.0,0.8868392573127747,148,45,45,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__generalization__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,generalization,0,0.4666666666666667,0.4666666666666667,0.7666666666666667,0.9,nan,0.21646207571029663,0.1996339842825729,0.10782349109649658,0.46525485028132335,,,1.0,1.0842947231063842,16,30,30,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_infer_latent_maml__generalization__s1,droid_lowdim_full_balanced_min300_remove,inr_transformer_infer_latent_maml,generalization,1,0.3,0.3,0.8333333333333334,0.9333333333333333,nan,0.2518431544303894,0.1718451241000566,0.09808807820081711,0.5018397696779217,,,1.0,1.4655240045318603,16,30,30,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_history_conditioned__novel_generalization__s0,droid_lowdim_full_balanced_min300_remove,inr_transformer_history_conditioned,novel_generalization,0,0.5111111111111111,0.7666666666666667,0.7111111111111111,0.9333333333333333,5.362402439117432,0.2604510486125946,0.24853383252909841,0.13463830947875977,0.510344049257552,,,1.0,1.0479500756988525,16,45,45,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_diffusion_history_conditioned__new_policy__s1,droid_lowdim_full_balanced_min300_remove,inr_diffusion_history_conditioned,new_policy,1,0.6,0.9,0.4222222222222222,0.8888888888888888,1.3221651315689087,0.215498685836792,0.21306418515664036,0.015986386686563492,0.4642183600815375,,,1.0,1.0114261375198363,148,45,45,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_fitted_latent__novel_generalization__s1,droid_lowdim_full_balanced_min300_remove,inr_transformer_fitted_latent,novel_generalization,1,0.3333333333333333,0.5,0.6,0.8222222222222222,0.0011702377814799547,0.26046374440193176,0.18219699095712782,0.09709515422582626,0.5103564875672022,,,1.0,1.4295721517333984,16,45,45,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_diffusion_history_conditioned__single_shift__s0,droid_lowdim_full_balanced_min300_remove,inr_diffusion_history_conditioned,single_shift,0,0.875,0.875,0.75,0.9375,nan,0.2208034247159958,0.20769527252118888,0.023572316393256187,0.4698972491045205,,,1.0,1.0631124244461059,148,16,16,1
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__inr_transformer_history_conditioned__novel_generalization__s1,droid_lowdim_full_balanced_min300_remove,inr_transformer_history_conditioned,novel_generalization,1,0.4888888888888889,0.7333333333333333,0.4222222222222222,0.9111111111111111,5.5677490234375,0.30908405780792236,0.21620738584838048,0.13313819468021393,0.555953287433326,,,1.0,1.4295721517333984,16,45,45,0
outputs/droid/balanced_min300_remove_hk300/droid_lowdim_full_balanced_min300_remove__cvae__single_shift__s1,droid_lowdim_full_balanced_min300_remove,cvae,single_shift,1,0.9375,0.9375,0.9375,0.9375,nan,0.06519147008657455,0.05046945053481852,0.022263463586568832,0.25532620329017264,,,1.0,1.2917016015777587,148,16,16,1
