run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_fitted_latent__single_shift_5p__s0,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_fitted_latent,single_shift_5p,0,0.6,0.6,0.5058823529411764,0.8705882352941177,nan,0.08185840398073196,0.07745413877995758,0.02888127975165844,0.28610907706805105,,,1.0,1.0568628774414062,421,85,85,1
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_fitted_latent__conflation_5p__s0,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_fitted_latent,conflation_5p,0,0.6941176470588235,0.6941176470588235,0.4,0.9058823529411765,nan,0.07897072285413742,0.07572296496368192,0.026748405769467354,0.2810172999196623,,,1.0,1.0428899989852904,396,85,85,1
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_history_conditioned__novel_generalization_5p__s0,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_history_conditioned,novel_generalization_5p,0,0.2696629213483146,0.4,0.43820224719101125,0.8651685393258427,5.145216464996338,0.24741457402706146,0.2219253435420455,0.13005217909812927,0.49740785481037736,,,1.0,1.1148549781570434,16,89,89,0
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_fitted_latent__generalization_5p__s1,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_fitted_latent,generalization_5p,1,0.39325842696629215,0.39325842696629215,0.34831460674157305,0.797752808988764,nan,0.16369181871414185,0.13400863828496323,0.06861086189746857,0.4045884559823004,,,1.0,1.2215019927749633,20,89,89,0
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_diffusion_history_conditioned__no_shift_5p__s1,droid_lowdim_full_balanced_min300_remove_5col,inr_diffusion_history_conditioned,no_shift_5p,1,0.7078651685393258,0.7078651685393258,0.3707865168539326,0.8314606741573034,nan,0.25723859667778015,0.24719094842566575,0.04439353942871094,0.5071869445064415,,,1.0,1.0406473146209716,421,89,89,0
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__cvae__novel_generalization_5p__s1,droid_lowdim_full_balanced_min300_remove_5col,cvae,novel_generalization_5p,1,0.2247191011235955,0.3333333333333333,0.4606741573033708,0.8202247191011236,2.2226603031158447,0.10523965954780579,0.09322699211366467,0.053770843893289566,0.324406626855565,,,1.0,1.1288539634475707,16,89,89,0
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_history_conditioned__specialization_5p__s0,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_history_conditioned,specialization_5p,0,0.2,0.2,0.0,0.4,nan,0.011427507735788822,0.018839573727837452,0.000836330815218389,0.10689952168175881,,,1.0,0.6065693364868164,421,5,5,5
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__cvae__new_policy_5p__s0,droid_lowdim_full_balanced_min300_remove_5col,cvae,new_policy_5p,0,0.48314606741573035,0.7166666666666667,0.33707865168539325,0.8651685393258427,1.5256215333938599,0.07619623839855194,0.0813224287778612,0.018982278183102608,0.2760366613306137,,,1.0,0.9369646178016663,287,89,89,0
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_infer_latent_maml__new_policy_5p__s0,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_infer_latent_maml,new_policy_5p,0,0.47191011235955055,0.7,0.38202247191011235,0.8426966292134831,0.0005590045475400984,0.07713065296411514,0.08231970716789853,0.018291249871253967,0.2777240590300292,,,1.0,0.9369646178016663,287,89,89,0
outputs/droid/balanced_min300_remove_hk300_5col/droid_lowdim_full_balanced_min300_remove_5col__inr_transformer_fitted_latent__single_shift_5p__s1,droid_lowdim_full_balanced_min300_remove_5col,inr_transformer_fitted_latent,single_shift_5p,1,0.5764705882352941,0.5764705882352941,0.4470588235294118,0.8941176470588236,nan,0.06214916706085205,0.0589245237902593,0.022309202700853348,0.24929734667832318,,,1.0,1.0547249780426025,421,85,85,1
