run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__inr_transformer_infer_latent_maml__conflation__s0,droid_lowdim_full,inr_transformer_infer_latent_maml,conflation,0,0.16666666666666666,0.16666666666666666,nan,0.1373482495546341,0.1727128824929657,0.05607227236032486,0.37060524760806357,,,1.0,0.7952403293380738,25,6,6,1
outputs/droid_fastf1_full_suite_ver_20260501/fastf1_stint_full__inr_transformer_fitted_latent__novel_generalization__s0,fastf1_stint_full,inr_transformer_fitted_latent,novel_generalization,0,0.2222222222222222,0.3333333333333333,0.009028129279613495,1.2284446954727173,1.22308128827947,0.7793731689453125,1.1083522434103326,,,1.0,1.004385160041809,8,18,18,0
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__cvae__generalization__s0,droid_lowdim_full,cvae,generalization,0,0.18181818181818182,0.18181818181818182,nan,0.19489538669586182,0.16256228569333342,0.12369243055582047,0.4414695761837522,,,1.0,1.1988966928253173,9,11,11,0
outputs/droid_fastf1_full_suite_ver_20260501/fastf1_stint_full__inr_transformer_history_conditioned__new_policy__s1,fastf1_stint_full,inr_transformer_history_conditioned,new_policy,1,0.5555555555555556,0.8333333333333334,5.080860614776611,0.21293193101882935,0.1767084695426792,0.014686633832752705,0.4614454800069336,,,1.0,1.204989956451416,52,18,18,0
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__inr_diffusion_history_conditioned__no_shift__s1,droid_lowdim_full,inr_diffusion_history_conditioned,no_shift,1,0.8181818181818182,0.8181818181818182,nan,0.18664418160915375,0.21145451078329017,0.023978987708687782,0.43202335771246647,,,1.0,0.8826682434806824,49,11,11,0
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__inr_transformer_history_conditioned__single_shift__s0,droid_lowdim_full,inr_transformer_history_conditioned,single_shift,0,0.6666666666666666,0.6666666666666666,nan,0.14333757758140564,0.16849233739541747,0.08375533670186996,0.3785994949566172,,,1.0,0.8507068024406433,49,6,6,1
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__inr_diffusion_history_conditioned__novel_generalization__s1,droid_lowdim_full,inr_diffusion_history_conditioned,novel_generalization,1,0.38461538461538464,0.45454545454545453,7.642683029174805,0.45310941338539124,0.3433033741014434,0.3672427833080292,0.6731340233455677,,,1.0,1.3198513255844115,9,13,13,0
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__inr_transformer_infer_latent_maml__no_shift__s1,droid_lowdim_full,inr_transformer_infer_latent_maml,no_shift,1,0.5454545454545454,0.5454545454545454,nan,0.0872131958603859,0.09880631426873646,0.03854084759950638,0.2953188037704099,,,1.0,0.8826682434806824,49,11,11,0
outputs/droid_fastf1_full_suite_ver_20260501/droid_lowdim_full__inr_diffusion_history_conditioned__conflation__s0,droid_lowdim_full,inr_diffusion_history_conditioned,conflation,0,0.8333333333333334,0.8333333333333334,nan,0.23991669714450836,0.30169080753764765,0.09678657352924347,0.48981292055692893,,,1.0,0.7952403293380738,25,6,6,1
outputs/droid_fastf1_full_suite_ver_20260501/fastf1_stint_full__cvae__generalization__s0,fastf1_stint_full,cvae,generalization,0,0.4166666666666667,0.4166666666666667,nan,0.8433722257614136,0.8800636579400756,0.5034345984458923,0.9183529962718113,,,1.0,0.9583082066307068,8,12,12,0
