run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__vqvae__new_policy__s1,fastf1_stint_full_uncapped,vqvae,new_policy,1,0.42857142857142855,0.6666666666666666,0.21428571428571427,0.9285714285714286,0.9172149896621704,0.20901916921138763,0.2447002101631922,0.02279088832437992,0.4571861428470767,,,1.0,0.8541846738586426,42,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__generalization__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,generalization,1,0.3333333333333333,0.3333333333333333,0.5555555555555556,1.0,nan,0.8766722083091736,1.130828722196243,0.2125655859708786,0.936307752989995,,,1.0,0.7752475605735779,18,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__state_action_bem__single_shift__s0,fastf1_stint_full_uncapped,state_action_bem,single_shift,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,nan,0.18844889104366302,0.12870169118584945,0.05575229227542877,0.43410700414029607,,,1.0,1.464230106903076,42,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__generalization__s0,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,generalization,0,0.3333333333333333,0.3333333333333333,0.2222222222222222,1.0,nan,1.4734183549880981,1.0486898294800753,0.2970045208930969,1.2138444525506957,,,1.0,1.4050087199935912,18,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__single_shift__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,single_shift,1,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,nan,0.8932675123214722,1.2574434949235715,0.16414937376976013,0.9451283046875023,,,1.0,0.7103838191757202,42,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_history_conditioned_shuffle__conflation__s1,fastf1_stint_full_uncapped,inr_transformer_history_conditioned_shuffle,conflation,1,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,nan,0.25037074089050293,0.32888288221345674,0.03453247994184494,0.5003706035435165,,,1.0,0.7612762914428711,32,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__state_action_bem__specialization__s0,fastf1_stint_full_uncapped,state_action_bem,specialization,0,0.5,0.5,0.5,0.75,nan,0.4404066205024719,0.3040154165325059,0.06117704138159752,0.6636313890274268,,,1.0,1.4486325250396728,42,4,4,4
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__vqvae__no_shift__s1,fastf1_stint_full_uncapped,vqvae,no_shift,1,0.6666666666666666,0.6666666666666666,0.2222222222222222,1.0,nan,0.1582084596157074,0.250043126728508,0.02620309218764305,0.3977542703927984,,,1.0,0.6327246890792847,42,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_fitted_latent_shuffle__conflation__s0,fastf1_stint_full_uncapped,inr_transformer_fitted_latent_shuffle,conflation,0,1.0,1.0,0.8333333333333334,0.8333333333333334,nan,1.117634654045105,0.657854117412923,0.10990697145462036,1.057182412852723,,,1.0,1.6989095674285888,32,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__state_action_bem__specialization__s1,fastf1_stint_full_uncapped,state_action_bem,specialization,1,0.25,0.25,0.0,0.75,nan,0.3694784939289093,0.33569223159410005,0.058821987360715866,0.6078474265215814,,,1.0,1.1006465421447753,42,4,4,4
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__vqvae__generalization__s1,fastf1_stint_full_uncapped,vqvae,generalization,1,0.6666666666666666,0.6666666666666666,0.5555555555555556,1.0,nan,0.2641826272010803,0.3407719554842856,0.05534445494413376,0.513986991276122,,,1.0,0.7752475605735779,18,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_fitted_latent_shuffle__specialization__s0,fastf1_stint_full_uncapped,inr_transformer_fitted_latent_shuffle,specialization,0,0.5,0.5,0.25,0.75,nan,0.6588297486305237,0.45479425405865487,0.05349953472614288,0.8116832809849687,,,1.0,1.4486325250396728,42,4,4,4
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__cvae_rnn__novel_generalization__s1,fastf1_stint_full_uncapped,cvae_rnn,novel_generalization,1,0.35714285714285715,0.5555555555555556,0.42857142857142855,0.9285714285714286,3.3839049339294434,0.523555338382721,0.4997769394115589,0.0910029336810112,0.7235712393280436,,,1.0,1.0475780235061645,18,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__cvae_rnn__conflation__s0,fastf1_stint_full_uncapped,cvae_rnn,conflation,0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,nan,0.5387454628944397,0.31711250158527643,0.12359660863876343,0.73399282210008,,,1.0,1.6989095674285888,32,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__cvae_rnn__novel_generalization__s0,fastf1_stint_full_uncapped,cvae_rnn,novel_generalization,0,0.35714285714285715,0.5555555555555556,0.21428571428571427,0.8571428571428571,2.3369131088256836,0.6942360997200012,0.5265782062885578,0.09812803566455841,0.8332083171212354,,,1.0,1.3183912502059936,18,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__novel_generalization__s0,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,novel_generalization,0,0.21428571428571427,0.3333333333333333,0.0,0.7857142857142857,0.4437468945980072,1.2878429889678955,0.9768291383659251,0.25296664237976074,1.1348317007238984,,,1.0,1.3183912502059936,18,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__conflation__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,conflation,1,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,nan,0.9129996299743652,1.1993012789665733,0.16615897417068481,0.9555101412200528,,,1.0,0.7612762914428711,32,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__state_action_bem__new_policy__s0,fastf1_stint_full_uncapped,state_action_bem,new_policy,0,0.21428571428571427,0.3333333333333333,0.21428571428571427,0.7857142857142857,0.3145521283149719,0.1581706553697586,0.15029007475882003,0.050482410937547684,0.3977067454416113,,,1.0,1.0524358020553588,42,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_history_conditioned_shuffle__new_policy__s0,fastf1_stint_full_uncapped,inr_transformer_history_conditioned_shuffle,new_policy,0,0.35714285714285715,0.5555555555555556,0.14285714285714285,0.7857142857142857,5.083349227905273,0.3437226712703705,0.3265972808974152,0.04225405305624008,0.5862786634957565,,,1.0,1.0524358020553588,42,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_history_conditioned_shuffle__no_shift__s0,fastf1_stint_full_uncapped,inr_transformer_history_conditioned_shuffle,no_shift,0,0.5555555555555556,0.5555555555555556,0.2222222222222222,1.0,nan,0.4043177664279938,0.3576565088257578,0.05369294434785843,0.6358598638284962,,,1.0,1.130463884902954,42,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_history_conditioned_shuffle__specialization__s0,fastf1_stint_full_uncapped,inr_transformer_history_conditioned_shuffle,specialization,0,0.5,0.5,0.5,0.75,nan,0.4710172116756439,0.32514609711855286,0.059556253254413605,0.6863069369281094,,,1.0,1.4486325250396728,42,4,4,4
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__cvae_rnn__no_shift__s1,fastf1_stint_full_uncapped,cvae_rnn,no_shift,1,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.0,nan,0.16413119435310364,0.25940380893298265,0.02592070959508419,0.4051310829263828,,,1.0,0.6327246890792847,42,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__cvae_rnn__conflation__s1,fastf1_stint_full_uncapped,cvae_rnn,conflation,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,nan,0.24998271465301514,0.328373177337777,0.05043783783912659,0.4999827143542216,,,1.0,0.7612762914428711,32,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__vqvae__new_policy__s0,fastf1_stint_full_uncapped,vqvae,new_policy,0,0.35714285714285715,0.5555555555555556,0.2857142857142857,0.8571428571428571,0.6085753440856934,0.37229040265083313,0.3537416742415709,0.059992026537656784,0.6101560477868208,,,1.0,1.0524358020553588,42,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_history_conditioned_shuffle__no_shift__s1,fastf1_stint_full_uncapped,inr_transformer_history_conditioned_shuffle,no_shift,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,nan,0.17240917682647705,0.2724868806326491,0.0304811280220747,0.41522184049791633,,,1.0,0.6327246890792847,42,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_fitted_latent_shuffle__single_shift__s1,fastf1_stint_full_uncapped,inr_transformer_fitted_latent_shuffle,single_shift,1,1.0,1.0,0.8333333333333334,0.8333333333333334,nan,0.27314257621765137,0.3844999968250782,0.04560636729001999,0.522630439428906,,,1.0,0.7103838191757202,42,6,6,1
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_transformer_fitted_latent_shuffle__no_shift__s0,fastf1_stint_full_uncapped,inr_transformer_fitted_latent_shuffle,no_shift,0,0.8888888888888888,0.8888888888888888,0.4444444444444444,1.0,nan,0.5756067633628845,0.509177489922465,0.0537126362323761,0.7586875268270097,,,1.0,1.130463884902954,42,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__new_policy__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,new_policy,1,0.35714285714285715,0.5555555555555556,0.2857142857142857,0.7857142857142857,0.9365257024765015,0.9624490141868591,1.126745823990437,0.14043733477592468,0.9810448583968315,,,1.0,0.8541846738586426,42,14,14,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__state_action_bem__no_shift__s1,fastf1_stint_full_uncapped,state_action_bem,no_shift,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,nan,0.13943199813365936,0.2203675635552568,0.054538749158382416,0.37340594282049044,,,1.0,0.6327246890792847,42,9,9,0
outputs/fastf1/uncapped_full_suite_newmodels/fastf1_stint_full_uncapped__inr_diffusion_history_conditioned_shuffle__no_shift__s1,fastf1_stint_full_uncapped,inr_diffusion_history_conditioned_shuffle,no_shift,1,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0,nan,0.8446173071861267,1.3348891259722764,0.14301025867462158,0.9190306345199417,,,1.0,0.6327246890792847,42,9,9,0
