run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__cvae__novel_generalization__s0,lichess_full_2Xepisode,cvae,novel_generalization,0,0.4728789986091794,0.7053941908713693,0.39221140472878996,0.8803894297635605,3.8661603927612305,nan,nan,nan,,0.03305742190205722,6.165573315647836,1.0,,962,719,719,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_transformer_history_conditioned__generalization__s0,lichess_full_2Xepisode,inr_transformer_history_conditioned,generalization,0,0.6141078838174274,0.6141078838174274,0.553941908713693,0.9771784232365145,nan,nan,nan,nan,,0.06677389229013178,5.916275372752092,1.0,,962,482,482,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_diffusion_history_conditioned__new_policy__s0,lichess_full_2Xepisode,inr_diffusion_history_conditioned,new_policy,0,0.45897079276773295,0.6846473029045643,0.41168289290681503,0.9068150208623088,1.521089792251587,nan,nan,nan,,0.0007619311491307058,0.0,1.0,,2244,719,719,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_transformer_history_conditioned__conflation__s0,lichess_full_2Xepisode,inr_transformer_history_conditioned,conflation,0,0.8757225433526011,0.8757225433526011,0.7341040462427746,0.9277456647398844,nan,nan,nan,nan,,0.199741879974188,4.759701806567104,1.0,,1608,346,346,103
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_transformer_fitted_latent__conflation__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,conflation,0,0.7109826589595376,0.7109826589595376,0.7225433526011561,0.7947976878612717,nan,nan,nan,nan,,0.20228006022800601,4.750059205020569,1.0,,1608,346,346,103
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__cvae__generalization__s0,lichess_full_2Xepisode,cvae,generalization,0,0.7053941908713693,0.7053941908713693,0.5850622406639004,0.970954356846473,nan,nan,nan,nan,,0.0330756459479091,6.153870292331861,1.0,,962,482,482,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_transformer_fitted_latent__new_policy__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,new_policy,0,0.4381084840055633,0.6535269709543569,0.34909596662030595,0.866481223922114,0.00608582841232419,nan,nan,nan,,0.20092470734917225,4.423611265656657,1.0,,2244,719,719,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_transformer_fitted_latent__no_shift__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,no_shift,0,0.6556016597510373,0.6556016597510373,0.495850622406639,0.9688796680497925,nan,nan,nan,nan,,0.2247587423472035,4.281263718184958,1.0,,2244,482,482,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_transformer_fitted_latent__single_shift__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,single_shift,0,0.5375722543352601,0.5375722543352601,0.7254335260115607,0.7976878612716763,nan,nan,nan,nan,,0.2097225209722521,4.422757634790412,1.0,,2244,346,346,103
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_diffusion_history_conditioned__single_shift__s0,lichess_full_2Xepisode,inr_diffusion_history_conditioned,single_shift,0,0.6589595375722543,0.6589595375722543,0.9219653179190751,0.9682080924855492,nan,nan,nan,nan,,0.0009464400946440094,0.0,1.0,,2244,346,346,103
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_diffusion_history_conditioned__novel_generalization__s0,lichess_full_2Xepisode,inr_diffusion_history_conditioned,novel_generalization,0,0.3657858136300417,0.5456431535269709,0.4283727399165508,0.9095966620305981,2.3358185291290283,nan,nan,nan,,0.0006407148299508208,0.0,1.0,,962,719,719,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__cvae__no_shift__s0,lichess_full_2Xepisode,cvae,no_shift,0,0.970954356846473,0.970954356846473,0.9232365145228216,0.9937759336099585,nan,nan,nan,nan,,0.16729791428867904,4.779914498910551,1.0,,2244,482,482,0
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__cvae__specialization__s0,lichess_full_2Xepisode,cvae,specialization,0,0.6956521739130435,0.6956521739130435,0.6135265700483091,0.9758454106280193,nan,nan,nan,nan,,0.06568039790843004,5.7222458954110405,1.0,,2244,207,207,207
/mnt/data/INR/outputs/lichess/2x_hk240/lichess_full_2Xepisode__inr_diffusion_history_conditioned__conflation__s0,lichess_full_2Xepisode,inr_diffusion_history_conditioned,conflation,0,0.8901734104046243,0.8901734104046243,0.8526011560693642,0.9335260115606936,nan,nan,nan,nan,,0.000602280060228006,0.0,1.0,,1608,346,346,103
