run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent__conflation_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent,conflation_5p,0,0.34394250513347024,0.34394250513347024,0.31211498973305957,0.7125256673511293,nan,nan,nan,nan,,0.20601235376957291,3.8709381243510372,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__cvae__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,cvae,novel_generalization_5p,0,0.30843373493975906,0.3910386965376782,0.2385542168674699,0.6208835341365462,5.185640811920166,nan,nan,nan,,0.05666833416708354,5.757843183676799,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned__no_shift_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned,no_shift_5p,0,0.41204819277108434,0.41204819277108434,0.25622489959839356,0.7092369477911646,nan,nan,nan,nan,,0.2370185092546273,3.546325881141254,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__cvae__generalization_5p__s0,lichess_top5_full_2Xepisode,cvae,generalization_5p,0,0.29156626506024097,0.29156626506024097,0.24016064257028114,0.7116465863453815,nan,nan,nan,nan,,0.05957978989494747,5.606123769282102,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned,novel_generalization_5p,0,0.27951807228915665,0.3543788187372709,0.20240963855421687,0.5975903614457831,2.110412359237671,nan,nan,nan,,0.09071535767883943,5.305442863033079,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned__generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned,generalization_5p,0,0.2216867469879518,0.2216867469879518,0.20803212851405622,0.6578313253012048,nan,nan,nan,nan,,0.09890945472736368,5.0769590300521354,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__cvae__specialization_5p__s0,lichess_top5_full_2Xepisode,cvae,specialization_5p,0,0.4336448598130841,0.4336448598130841,0.4280373831775701,0.7682242990654206,nan,nan,nan,nan,,0.10663727651236836,4.700731991355162,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned__new_policy_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned,new_policy_5p,0,0.3188755020080321,0.40427698574338083,0.26184738955823295,0.6240963855421687,7.787576198577881,nan,nan,nan,,0.0009504752376188094,0.0,1.0,,4579,1245,1245,0
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__cvae__single_shift_5p__s0,lichess_top5_full_2Xepisode,cvae,single_shift_5p,0,0.7392197125256673,0.7392197125256673,0.6960985626283368,0.9137577002053389,nan,nan,nan,nan,,0.16599506406949344,4.153709340879068,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent__generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent,generalization_5p,0,0.22329317269076304,0.22329317269076304,0.2570281124497992,0.7421686746987952,nan,nan,nan,nan,,0.10654327163581791,5.028528735803449,1.0,,2488,1245,1245,0
