run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__generalization_5p__s0,lichess_top5_full_2Xepisode,vqvae,generalization_5p,0,0.2714859437751004,0.2714859437751004,0.23293172690763053,0.6971887550200804,nan,nan,nan,nan,,0.06278514880150149,5.461498957385698,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__generalization_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,generalization_5p,0,0.2570281124497992,0.2570281124497992,0.242570281124498,0.7100401606425703,nan,nan,nan,nan,,0.07057214451865385,5.410894383771679,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__conflation_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,conflation_5p,0,0.5708418891170431,0.5708418891170431,0.3603696098562628,0.8295687885010267,nan,nan,nan,nan,,0.0008200366931672875,0.0,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__single_shift_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,single_shift_5p,0,0.4322381930184805,0.4322381930184805,0.4702258726899384,0.8531827515400411,nan,nan,nan,nan,,0.000764440985155946,0.0,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,generalization_5p,0,0.26586345381526105,0.26586345381526105,0.23293172690763053,0.7196787148594378,nan,nan,nan,nan,,0.1005121447183204,5.1019169312931,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__new_policy_5p__s0,lichess_top5_full_2Xepisode,vqvae,new_policy_5p,0,0.62570281124498,0.7932790224032586,0.5855421686746988,0.8795180722891566,2.6196465492248535,nan,nan,nan,,0.17807261872672636,4.144990762155715,1.0,,4579,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__no_shift_5p__s0,lichess_top5_full_2Xepisode,vqvae,no_shift_5p,0,0.7879518072289157,0.7879518072289157,0.6843373493975904,0.9044176706827309,nan,nan,nan,nan,,0.18270488284564776,4.007601858119597,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__generalization_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,generalization_5p,0,0.21204819277108433,0.21204819277108433,0.2457831325301205,0.7269076305220884,nan,nan,nan,nan,,0.011680493575728533,0.0,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,novel_generalization_5p,0,0.3228915662650602,0.4093686354378819,0.24417670682730924,0.7437751004016064,2.331178665161133,nan,nan,nan,,0.09495143111004622,5.316813456927322,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__single_shift_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,single_shift_5p,0,0.7535934291581109,0.7535934291581109,0.6765913757700205,0.9075975359342916,nan,nan,nan,nan,,0.16996997831767388,4.071336729779559,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__conflation_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,conflation_5p,0,0.351129363449692,0.351129363449692,0.30390143737166325,0.7145790554414785,nan,nan,nan,nan,,0.20528715183187857,3.858213268909273,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__generalization_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,generalization_5p,0,0.2457831325301205,0.2457831325301205,0.2859437751004016,0.7421686746987952,nan,nan,nan,nan,,0.0005690496870226721,0.0,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__specialization_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,specialization_5p,0,0.23738317757009345,0.23738317757009345,0.21682242990654205,0.6766355140186916,nan,nan,nan,nan,,0.00044687189672293944,0.0,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__no_shift_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,no_shift_5p,0,0.8265060240963855,0.8265060240963855,0.7301204819277108,0.9317269076305221,nan,nan,nan,nan,,0.2235267103936426,3.6388215749522517,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__new_policy_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,new_policy_5p,0,0.6610441767068274,0.8380855397148677,0.6072289156626506,0.9020080321285141,2.353517770767212,nan,nan,nan,,0.206585003044915,3.907133205223059,1.0,,4579,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,novel_generalization_5p,0,0.3076305220883534,0.390020366598778,0.22971887550200804,0.7180722891566265,3.1354665756225586,nan,nan,nan,,0.057234418521069814,5.696573842045113,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,vqvae,novel_generalization_5p,0,0.2714859437751004,0.34419551934826886,0.2281124497991968,0.6859437751004016,1.3499360084533691,nan,nan,nan,,0.05668533548973215,5.694611345488581,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,generalization_5p,0,0.2393574297188755,0.2393574297188755,0.242570281124498,0.7244979919678715,nan,nan,nan,nan,,0.10222927710723093,5.042544796137715,1.0,,2488,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,novel_generalization_5p,0,0.23775100401606425,0.3014256619144603,0.25542168674698795,0.7429718875502008,0.007762956898659468,nan,nan,nan,,0.095859913943714,5.259167163980684,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__single_shift_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,single_shift_5p,0,0.7084188911704312,0.7084188911704312,0.6806981519507187,0.9147843942505134,nan,nan,nan,nan,,0.20637126813809975,3.7224719568787963,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__no_shift_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,no_shift_5p,0,0.48032128514056227,0.48032128514056227,0.2995983935742972,0.7477911646586345,nan,nan,nan,nan,,0.0008685495222977627,0.0,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,novel_generalization_5p,0,0.23132530120481928,0.29327902240325865,0.2465863453815261,0.7172690763052209,0.2526703178882599,nan,nan,nan,,0.01795002346082043,0.0,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__no_shift_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,no_shift_5p,0,0.5726907630522088,0.5726907630522088,0.3333333333333333,0.7670682730923695,nan,nan,nan,nan,,0.01580360797468228,0.0,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__single_shift_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,single_shift_5p,0,0.47741273100616016,0.47741273100616016,0.37782340862423,0.8141683778234087,nan,nan,nan,nan,,0.014440985155945961,0.0,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__conflation_5p__s0,lichess_top5_full_2Xepisode,vqvae,conflation_5p,0,0.6540041067761807,0.6540041067761807,0.5215605749486653,0.839835728952772,nan,nan,nan,nan,,0.16157502640796131,4.250824033991997,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__specialization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,specialization_5p,0,0.35514018691588783,0.35514018691588783,0.2411214953271028,0.7121495327102804,nan,nan,nan,nan,,0.13381330685203574,4.1964949212931355,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__conflation_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,conflation_5p,0,0.7002053388090349,0.7002053388090349,0.41581108829568786,0.8357289527720739,nan,nan,nan,nan,,0.0174014566075499,0.0,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__specialization_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,specialization_5p,0,0.2205607476635514,0.2205607476635514,0.17009345794392525,0.6373831775700934,nan,nan,nan,nan,,0.13659384309831182,4.195587800678454,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__conflation_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,conflation_5p,0,0.7587268993839835,0.7587268993839835,0.6201232032854209,0.8809034907597536,nan,nan,nan,nan,,0.16988658475565685,4.185964436636312,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__specialization_5p__s0,lichess_top5_full_2Xepisode,vqvae,specialization_5p,0,0.41682242990654206,0.41682242990654206,0.3102803738317757,0.7607476635514019,nan,nan,nan,nan,,0.1156901688182721,4.485633594016688,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__new_policy_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,new_policy_5p,0,0.6706827309236948,0.8503054989816701,0.6690763052208836,0.908433734939759,4.41582727432251,nan,nan,nan,,0.17315083810037238,4.222133692495252,1.0,,4579,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__specialization_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,specialization_5p,0,0.4411214953271028,0.4411214953271028,0.38691588785046727,0.794392523364486,nan,nan,nan,nan,,0.11261171797418074,4.549821810073626,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__single_shift_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,single_shift_5p,0,0.3726899383983573,0.3726899383983573,0.24845995893223818,0.7063655030800822,nan,nan,nan,nan,,0.21279257241340968,3.702729409085761,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__novel_generalization_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,novel_generalization_5p,0,0.3132530120481928,0.3971486761710794,0.27951807228915665,0.7228915662650602,0.4298701286315918,nan,nan,nan,,0.0006588996376051993,0.0,1.0,,1963,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_diffusion_history_conditioned_shuffle__new_policy_5p__s0,lichess_top5_full_2Xepisode,inr_diffusion_history_conditioned_shuffle,new_policy_5p,0,0.41285140562248995,0.5234215885947047,0.28353413654618476,0.7220883534136546,0.2557193338871002,nan,nan,nan,,0.0008885161779827688,0.0,1.0,,4579,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__specialization_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,specialization_5p,0,0.22429906542056074,0.22429906542056074,0.21121495327102804,0.680373831775701,nan,nan,nan,nan,,0.006256206554121152,0.0,1.0,,5804,535,535,535
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__cvae_rnn__no_shift_5p__s0,lichess_top5_full_2Xepisode,cvae_rnn,no_shift_5p,0,0.8449799196787149,0.8449799196787149,0.751004016064257,0.9156626506024096,nan,nan,nan,nan,,0.18489123164315593,3.9908220105919208,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_history_conditioned_shuffle__conflation_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_history_conditioned_shuffle,conflation_5p,0,0.7648870636550308,0.7648870636550308,0.6293634496919918,0.8490759753593429,nan,nan,nan,nan,,0.1975176516372936,3.9099113204344413,1.0,,4534,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__no_shift_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,no_shift_5p,0,0.36224899598393573,0.36224899598393573,0.20562248995983937,0.6835341365461848,nan,nan,nan,nan,,0.23320055507302803,3.5957251999512376,1.0,,5804,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__state_action_bem__new_policy_5p__s0,lichess_top5_full_2Xepisode,state_action_bem,new_policy_5p,0,0.44176706827309237,0.560081466395112,0.3140562248995984,0.7518072289156627,0.2679547667503357,nan,nan,nan,,0.016083141154272364,0.0,1.0,,4579,1245,1245,0
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__vqvae__single_shift_5p__s0,lichess_top5_full_2Xepisode,vqvae,single_shift_5p,0,0.7032854209445585,0.7032854209445585,0.6519507186858317,0.8880903490759754,nan,nan,nan,nan,,0.16920553733251792,4.095147989096726,1.0,,5804,974,974,205
outputs/lichess/2x_hk240_top5_newmodels/lichess_top5_full_2Xepisode__inr_transformer_fitted_latent_shuffle__new_policy_5p__s0,lichess_top5_full_2Xepisode,inr_transformer_fitted_latent_shuffle,new_policy_5p,0,0.3004016064257028,0.38085539714867617,0.2248995983935743,0.7028112449799196,0.008765836246311665,nan,nan,nan,,0.21615901444587537,3.8505772179308213,1.0,,4579,1245,1245,0
