run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/custom_mujoco_suite/custom_mujoco_walker2d__inr_transformer_fitted_latent__novel_generalization__s0,custom_mujoco_walker2d,inr_transformer_fitted_latent,novel_generalization,0,0.3333333333333333,0.5,0.08703964948654175,0.525734007358551,0.49208476025014825,0.20599913597106934,0.725075173591367,,,1.0,1.0683809982070922,180,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_transformer_fitted_latent__new_policy__s0,custom_mujoco_halfcheetah,inr_transformer_fitted_latent,new_policy,0,0.3333333333333333,0.5,0.07168308645486832,0.2347441166639328,0.23000596462428313,0.01720278337597847,0.48450399034882347,,,1.0,1.0206001268157958,358,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_humanoid__inr_transformer_history_conditioned__no_shift__s0,custom_mujoco_humanoid,inr_transformer_history_conditioned,no_shift,0,1.0,1.0,nan,0.1685950607061386,0.1619577384859591,0.0890689268708229,0.4106032887181234,,,1.0,1.040981815887451,358,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_walker2d__inr_transformer_history_conditioned__generalization__s1,custom_mujoco_walker2d,inr_transformer_history_conditioned,generalization,1,0.9871794871794872,0.9871794871794872,nan,0.15426748991012573,0.1569048473669932,0.05605396628379822,0.3927690032450699,,,1.0,0.9831913576850891,180,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_humanoid__inr_transformer_fitted_latent__specialization__s0,custom_mujoco_humanoid,inr_transformer_fitted_latent,specialization,0,0.5526315789473685,0.5526315789473685,nan,0.22254014015197754,0.20978229978575888,0.08702722191810608,0.47174160316001124,,,1.0,1.0608146653900146,358,38,38,38
outputs/custom_mujoco_suite/custom_mujoco_ant__inr_diffusion_history_conditioned__new_policy__s1,custom_mujoco_ant,inr_diffusion_history_conditioned,new_policy,1,0.6666666666666666,1.0,7.417143821716309,1.2232375144958496,1.0817571588427077,0.7411629557609558,1.1060006846724144,,,1.0,1.1307875381240844,358,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_humanoid__inr_diffusion_history_conditioned__generalization__s0,custom_mujoco_humanoid,inr_diffusion_history_conditioned,generalization,0,1.0,1.0,nan,0.9355049133300781,0.9376595532890526,0.764556348323822,0.9672150295203638,,,1.0,0.997702108455658,180,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_diffusion_history_conditioned__conflation__s0,custom_mujoco_halfcheetah,inr_diffusion_history_conditioned,conflation,0,1.0,1.0,nan,0.6243965029716492,0.6186874532555289,0.3143208920955658,0.7901876378251239,,,1.0,1.0092276798019408,269,58,58,19
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__cvae__no_shift__s1,custom_mujoco_halfcheetah,cvae,no_shift,1,1.0,1.0,nan,0.05214493349194527,0.051660992352258246,0.012239879928529263,0.2283526515982358,,,1.0,1.0093676315078735,358,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_ant__cvae__novel_generalization__s0,custom_mujoco_ant,cvae,novel_generalization,0,0.6666666666666666,1.0,3.441054582595825,0.9588170051574707,0.841985052098726,0.28593069314956665,0.9791920164898561,,,1.0,1.13875775201416,180,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_humanoid__inr_transformer_history_conditioned__generalization__s1,custom_mujoco_humanoid,inr_transformer_history_conditioned,generalization,1,1.0,1.0,nan,0.22996482253074646,0.2294598071420939,0.12437737733125687,0.47954647588189664,,,1.0,1.00220088822937,180,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_walker2d__cvae__novel_generalization__s0,custom_mujoco_walker2d,cvae,novel_generalization,0,0.6495726495726496,0.9743589743589743,2.318596601486206,0.5360159873962402,0.5017086491577046,0.2731229066848755,0.7321311271870908,,,1.0,1.0683809982070922,180,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_hopper__cvae__generalization__s0,custom_mujoco_hopper,cvae,generalization,0,1.0,1.0,nan,0.3670608401298523,0.37564029908485286,0.19193480908870697,0.6058554614178635,,,1.0,0.9771604405174256,180,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_hopper__inr_transformer_history_conditioned__single_shift__s1,custom_mujoco_hopper,inr_transformer_history_conditioned,single_shift,1,1.0,1.0,nan,0.09494796395301819,0.08881915196664816,0.03420477360486984,0.30813627497102347,,,1.0,1.0690032706985473,358,58,58,19
outputs/custom_mujoco_suite/custom_mujoco_hopper__inr_transformer_fitted_latent__specialization__s0,custom_mujoco_hopper,inr_transformer_fitted_latent,specialization,0,0.6578947368421053,0.6578947368421053,nan,0.21607083082199097,0.2238544007430457,0.07335741072893143,0.46483419713053703,,,1.0,0.9652293191680908,358,38,38,38
outputs/custom_mujoco_suite/custom_mujoco_humanoid__inr_transformer_history_conditioned__generalization__s0,custom_mujoco_humanoid,inr_transformer_history_conditioned,generalization,0,1.0,1.0,nan,0.2491765320301056,0.24975043143469514,0.1321825087070465,0.49917585281151733,,,1.0,0.997702108455658,180,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_ant__cvae__single_shift__s1,custom_mujoco_ant,cvae,single_shift,1,1.0,1.0,nan,0.20045512914657593,0.20208145890734458,0.12251868098974228,0.44772215619352135,,,1.0,0.9919521079788208,358,58,58,19
outputs/custom_mujoco_suite/custom_mujoco_hopper__inr_diffusion_history_conditioned__single_shift__s1,custom_mujoco_hopper,inr_diffusion_history_conditioned,single_shift,1,1.0,1.0,nan,0.7946330308914185,0.7433401306360459,0.3062404692173004,0.8914219151958395,,,1.0,1.0690032706985473,358,58,58,19
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_transformer_fitted_latent__no_shift__s0,custom_mujoco_halfcheetah,inr_transformer_fitted_latent,no_shift,0,0.5,0.5,nan,0.04767874255776405,0.04739885987096256,0.006874110549688339,0.21835462568437622,,,1.0,1.0059048400650024,358,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_walker2d__cvae__new_policy__s1,custom_mujoco_walker2d,cvae,new_policy,1,0.6666666666666666,1.0,2.4567668437957764,0.42896541953086853,0.3922646170972221,0.1750953197479248,0.6549545171467012,,,1.0,1.0935613380203246,358,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_walker2d__inr_transformer_fitted_latent__new_policy__s1,custom_mujoco_walker2d,inr_transformer_fitted_latent,new_policy,1,0.358974358974359,0.5384615384615384,0.12822042405605316,0.44086381793022156,0.40314502954934184,0.11083974689245224,0.6639757660714897,,,1.0,1.0935613380203246,358,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_ant__inr_diffusion_history_conditioned__specialization__s0,custom_mujoco_ant,inr_diffusion_history_conditioned,specialization,0,1.0,1.0,nan,0.718312680721283,0.7329936071111183,0.4218178987503052,0.8475332918070434,,,1.0,0.9799712763557434,358,38,38,38
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_transformer_history_conditioned__specialization__s1,custom_mujoco_halfcheetah,inr_transformer_history_conditioned,specialization,1,1.0,1.0,nan,0.14524206519126892,0.14141496070222798,0.010749132372438908,0.38110636991694186,,,1.0,1.0270629392395019,358,38,38,38
outputs/custom_mujoco_suite/custom_mujoco_humanoid__cvae__single_shift__s1,custom_mujoco_humanoid,cvae,single_shift,1,1.0,1.0,nan,0.22693806886672974,0.21562667854832177,0.11593176424503326,0.47638017262133164,,,1.0,1.0524582134017944,358,58,58,19
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_diffusion_history_conditioned__novel_generalization__s1,custom_mujoco_halfcheetah,inr_diffusion_history_conditioned,novel_generalization,1,0.6666666666666666,1.0,4.955928802490234,0.8171420693397522,0.8106215814537756,0.6250303387641907,0.9039591082232382,,,1.0,1.008043812347412,180,117,117,0
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_transformer_history_conditioned__conflation__s0,custom_mujoco_halfcheetah,inr_transformer_history_conditioned,conflation,0,1.0,1.0,nan,0.0534520260989666,0.05296329774611064,0.00669656740501523,0.2311969422353302,,,1.0,1.0092276798019408,269,58,58,19
outputs/custom_mujoco_suite/custom_mujoco_hopper__cvae__specialization__s1,custom_mujoco_hopper,cvae,specialization,1,1.0,1.0,nan,0.3506111800670624,0.36098997011221146,0.13807731866836548,0.5921242944408398,,,1.0,0.9712490902671814,358,38,38,38
outputs/custom_mujoco_suite/custom_mujoco_halfcheetah__inr_transformer_history_conditioned__generalization__s0,custom_mujoco_halfcheetah,inr_transformer_history_conditioned,generalization,0,1.0,1.0,nan,0.07077861577272415,0.07065389063725191,0.015650099143385887,0.2660425074545873,,,1.0,1.0017652974853515,180,78,78,0
outputs/custom_mujoco_suite/custom_mujoco_walker2d__inr_diffusion_history_conditioned__conflation__s1,custom_mujoco_walker2d,inr_diffusion_history_conditioned,conflation,1,1.0,1.0,nan,0.6597705483436584,0.6392703130798081,0.36408451199531555,0.8122626104553,,,1.0,1.0320681796798705,269,58,58,19
