run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_humanoid__inr_diffusion_history_conditioned_shuffle__generalization__s1,custom_mujoco_humanoid,inr_diffusion_history_conditioned_shuffle,generalization,1,1.0,1.0,1.0,1.0,nan,0.7106816172599792,1.0313334333042086,0.6381391286849976,0.843019345721069,,,1.0,0.6890900598297119,160,82,82,0
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_ant__inr_transformer_fitted_latent_shuffle__conflation__s0,custom_mujoco_ant,inr_transformer_fitted_latent_shuffle,conflation,0,1.0,1.0,1.0,1.0,nan,0.18684923648834229,0.18758289029017908,0.08957242965698242,0.43226061177065656,,,1.0,0.996088908744812,268,59,59,18
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_walker2d__state_action_bem__single_shift__s1,custom_mujoco_walker2d,state_action_bem,single_shift,1,0.9661016949152542,0.9661016949152542,0.9322033898305084,0.9830508474576272,nan,0.5352687239646912,0.5007218173500195,0.24306552112102509,0.7316206147756439,,,1.0,1.0689942107925414,376,59,59,18
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_ant__state_action_bem__new_policy__s1,custom_mujoco_ant,state_action_bem,new_policy,1,0.6666666666666666,1.0,1.0,1.0,0.4471125304698944,1.3044686317443848,1.1862745321003099,0.8028825521469116,1.1421333686327464,,,1.0,1.0996346936950683,376,123,123,0
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_ant__cvae_rnn__no_shift__s0,custom_mujoco_ant,cvae_rnn,no_shift,0,1.0,1.0,1.0,1.0,nan,0.13859246671199799,0.14055606438156715,0.06801854819059372,0.37228009174813254,,,1.0,0.986029790473938,376,82,82,0
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_halfcheetah__inr_transformer_history_conditioned_shuffle__single_shift__s1,custom_mujoco_halfcheetah,inr_transformer_history_conditioned_shuffle,single_shift,1,1.0,1.0,1.0,1.0,nan,0.02965652383863926,0.029323752770963104,0.0030944219324737787,0.17221069606339573,,,1.0,1.0113481746444701,376,59,59,18
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_hopper__inr_diffusion_history_conditioned_shuffle__no_shift__s0,custom_mujoco_hopper,inr_diffusion_history_conditioned_shuffle,no_shift,0,1.0,1.0,1.0,1.0,nan,0.9688708186149597,0.9553473481991847,0.4560355246067047,0.9843123582557316,,,1.0,1.014155553413391,376,82,82,0
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_walker2d__inr_transformer_history_conditioned_shuffle__novel_generalization__s0,custom_mujoco_walker2d,inr_transformer_history_conditioned_shuffle,novel_generalization,0,0.6178861788617886,0.926829268292683,0.959349593495935,1.0,3.2899277210235596,0.4570179283618927,0.5379974928162042,0.28453773260116577,0.6760310113906703,,,1.0,0.8494796620140076,160,123,123,0
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_hopper__inr_transformer_fitted_latent_shuffle__new_policy__s0,custom_mujoco_hopper,inr_transformer_fitted_latent_shuffle,new_policy,0,0.6422764227642277,0.9634146341463414,0.967479674796748,0.983739837398374,0.008700336329638958,0.8051366806030273,0.6339075050786904,0.0968967080116272,0.8972940881355607,,,1.0,1.2701169715652465,376,123,123,0
outputs/mujoco/baseline_custom_mujoco_newmodels/custom_mujoco_hopper__inr_diffusion_history_conditioned_shuffle__generalization__s0,custom_mujoco_hopper,inr_diffusion_history_conditioned_shuffle,generalization,0,0.9512195121951219,0.9512195121951219,0.9634146341463414,0.9634146341463414,nan,1.4498437643051147,1.4580977430159183,0.8648388981819153,1.2040945827903697,,,1.0,0.9943392143974304,160,82,82,0
