run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__generalization__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,generalization,1,1.0,1.0,nan,0.8170835375785828,1.2730149155845716,0.5395961403846741,0.903926732417281,,,1.0,0.6418491469154358,180,78,78,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__new_policy__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,new_policy,1,0.6581196581196581,0.9871794871794872,0.004840121604502201,0.7830285429954529,0.7228470636929842,0.2469513863325119,0.8848890003810946,,,1.0,1.0832561717758178,358,117,117,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__no_shift__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,no_shift,0,1.0,1.0,nan,0.20602953433990479,0.20755405065152405,0.1220279112458229,0.45390476351312375,,,1.0,0.9926548467407227,358,78,78,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__specialization__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,specialization,1,0.3157894736842105,0.3157894736842105,nan,1.4624828100204468,0.8618127315912983,0.7221869826316833,1.2093315550420598,,,1.0,1.6969844566116332,358,38,38,38
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__novel_generalization__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,novel_generalization,1,0.6666666666666666,1.0,0.006702928803861141,0.9575541615486145,1.363678083168317,0.7109335064888,0.9785469644062131,,,1.0,0.7021849022636414,180,117,117,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__new_policy__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,new_policy,0,0.6666666666666666,1.0,0.004245310090482235,0.8799125552177429,0.8145745461386406,0.2502017915248871,0.9380365425812275,,,1.0,1.0802112088928222,358,117,117,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__single_shift__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,single_shift,1,0.8793103448275862,0.8793103448275862,nan,0.6019665002822876,0.47736886240753584,0.2189580649137497,0.7758650013258026,,,1.0,1.2610091434249877,358,58,58,19
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__conflation__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,conflation,1,1.0,1.0,nan,0.21996846795082092,0.21000436326796137,0.13882991671562195,0.4690079615004642,,,1.0,1.0474471317062377,269,58,58,19
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__specialization__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,specialization,0,0.5,0.5,nan,1.470982551574707,0.867729831245897,0.687023401260376,1.2128406950522015,,,1.0,1.6952079997787475,358,38,38,38
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__generalization__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,generalization,0,1.0,1.0,nan,0.8641472458839417,1.341719657204409,0.5711610317230225,0.9295952053899276,,,1.0,0.6440594659576416,180,78,78,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__conflation__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,conflation,0,1.0,1.0,nan,0.22614780068397522,0.2153553617512255,0.1317967176437378,0.47554999809060583,,,1.0,1.050114558769226,269,58,58,19
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__no_shift__s1,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,no_shift,1,0.9871794871794872,0.9871794871794872,nan,0.19902823865413666,0.20097374563228332,0.121945820748806,0.4461258103429308,,,1.0,0.9903195963630677,358,78,78,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__novel_generalization__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,novel_generalization,0,0.6666666666666666,1.0,0.005884177051484585,0.9962373971939087,1.4214484575637738,0.7578136324882507,0.9981169256123796,,,1.0,0.7008607254753113,180,117,117,0
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4_hopper__inr_transformer_fitted_latent__single_shift__s0,custom_mujoco_action_resampled_v4_hopper,inr_transformer_fitted_latent,single_shift,0,0.6724137931034483,0.6724137931034483,nan,0.6393690705299377,0.5058116485367162,0.21783222258090973,0.7996055718477315,,,1.0,1.2640457616577148,358,58,58,19
outputs/suites/action_resampled_v4/runs/custom_mujoco_action_resampled_v4/custom_mujoco_action_resampled_v4_halfcheetah__cvae__single_shift__s0,custom_mujoco_action_resampled_v4_halfcheetah,cvae,single_shift,0,0.7068965517241379,0.7068965517241379,nan,0.312398761510849,0.3046356055983784,0.15054373443126678,0.5589264365825336,,,1.0,1.025483416152954,358,58,58,19
