run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__inr_diffusion_history_conditioned__specialization__s0,custom_mujoco_action_resampled_v3_walker2d,inr_diffusion_history_conditioned,specialization,0,1.0,1.0,nan,1.154183268547058,1.4000282342589687,0.9916839003562927,1.0743292179527921,,,1.0,0.8243999944458008,358,38,38,38
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_hopper__inr_transformer_history_conditioned__specialization__s1,custom_mujoco_action_resampled_v3_hopper,inr_transformer_history_conditioned,specialization,1,0.5,0.5,nan,0.6469497084617615,0.5956353136889205,0.4895145893096924,0.8043318397662507,,,1.0,1.0861506925354003,358,38,38,38
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__cvae__novel_generalization__s0,custom_mujoco_action_resampled_v3_walker2d,cvae,novel_generalization,0,0.6666666666666666,1.0,3.064703941345215,1.0690003633499146,0.9896269685159734,0.789950430393219,1.0339247377589504,,,1.0,1.0802053676376342,180,117,117,0
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_humanoid__inr_diffusion_history_conditioned__generalization__s0,custom_mujoco_action_resampled_v3_humanoid,inr_diffusion_history_conditioned,generalization,0,1.0,1.0,nan,1.2472985982894897,0.9244626376991854,1.1359174251556396,1.116825231757185,,,1.0,1.3492147193679809,180,78,78,0
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_hopper__inr_transformer_history_conditioned__single_shift__s1,custom_mujoco_action_resampled_v3_hopper,inr_transformer_history_conditioned,single_shift,1,1.0,1.0,nan,0.22675031423568726,0.21505177667508082,0.02230239473283291,0.47618306798508414,,,1.0,1.054398702217102,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__inr_diffusion_history_conditioned__specialization__s1,custom_mujoco_action_resampled_v3_walker2d,inr_diffusion_history_conditioned,specialization,1,0.868421052631579,0.868421052631579,nan,1.103378415107727,1.3384017740677792,0.9521942734718323,1.0504182096230659,,,1.0,0.8243999944458008,358,38,38,38
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_hopper__inr_transformer_history_conditioned__new_policy__s1,custom_mujoco_action_resampled_v3_hopper,inr_transformer_history_conditioned,new_policy,1,0.6666666666666666,1.0,1.954478144645691,0.7244254946708679,0.6454008986866817,0.018236719071865082,0.8511318902913155,,,1.0,1.1224426494369506,358,117,117,0
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__cvae__new_policy__s0,custom_mujoco_action_resampled_v3_walker2d,cvae,new_policy,0,0.6666666666666666,1.0,1.7488274574279785,0.6835482120513916,0.7076790623651976,0.14187195897102356,0.8267697454862458,,,1.0,0.9659014211425782,358,117,117,0
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__inr_transformer_history_conditioned__single_shift__s0,custom_mujoco_action_resampled_v3_walker2d,inr_transformer_history_conditioned,single_shift,0,1.0,1.0,nan,0.41781115531921387,0.49707187729880753,0.10249912738800049,0.6463831335355323,,,1.0,0.8405447469482422,358,58,58,19
outputs/suites/action_resampled_v3/runs/custom_mujoco_action_resampled_v3/custom_mujoco_action_resampled_v3_walker2d__inr_transformer_history_conditioned__specialization__s0,custom_mujoco_action_resampled_v3_walker2d,inr_transformer_history_conditioned,specialization,0,1.0,1.0,nan,0.6356931328773499,0.7710979344495165,0.4668677747249603,0.7973036641564805,,,1.0,0.8243999944458008,358,38,38,38
