run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_halfcheetah__inr_diffusion_history_conditioned__conflation__s1,custom_mujoco_state_resampled_v2_halfcheetah,inr_diffusion_history_conditioned,conflation,1,1.0,1.0,1.0,1.0,nan,0.5533249378204346,0.5549832244325988,0.17693626880645752,0.7438581436137098,,,1.0,0.9970120058784485,269,58,58,19
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_ant__inr_diffusion_history_conditioned__no_shift__s0,custom_mujoco_state_resampled_v2_ant,inr_diffusion_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,0.14837108552455902,0.14799212772673428,0.050731685012578964,0.385189674737731,,,1.0,1.0025606618652343,358,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_walker2d__cvae__new_policy__s0,custom_mujoco_state_resampled_v2_walker2d,cvae,new_policy,0,0.6666666666666666,1.0,1.0,1.0,0.5325708389282227,0.3795386254787445,0.3702780034005147,0.0064376103691756725,0.6160670624848763,,,1.0,1.0250099168548583,358,117,117,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_hopper__inr_transformer_fitted_latent__no_shift__s0,custom_mujoco_state_resampled_v2_hopper,inr_transformer_fitted_latent,no_shift,0,1.0,1.0,1.0,1.0,nan,0.3380146622657776,0.3368644992077294,0.23301656544208527,0.5813902839451117,,,1.0,1.0034143195877074,358,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_humanoid__inr_transformer_history_conditioned__no_shift__s0,custom_mujoco_state_resampled_v2_humanoid,inr_transformer_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,0.00020444962137844414,0.0002041070250584771,5.6150605814764276e-05,0.014298588090383054,,,1.0,1.0016785131225585,358,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_humanoid__inr_transformer_history_conditioned__generalization__s1,custom_mujoco_state_resampled_v2_humanoid,inr_transformer_history_conditioned,generalization,1,1.0,1.0,1.0,1.0,nan,0.5793509483337402,0.608618006318321,0.4901655316352844,0.7611510680106415,,,1.0,0.9519122706184387,180,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_halfcheetah__inr_diffusion_history_conditioned__no_shift__s0,custom_mujoco_state_resampled_v2_halfcheetah,inr_diffusion_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,0.5001674890518188,0.49955628629948373,0.13686394691467285,0.7072252039144383,,,1.0,1.0012234912643432,358,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_hopper__inr_transformer_history_conditioned__new_policy__s0,custom_mujoco_state_resampled_v2_hopper,inr_transformer_history_conditioned,new_policy,0,0.6666666666666666,1.0,1.0,1.0,5.833054065704346,0.8265356421470642,0.6377650007739865,0.0012296582572162151,0.9091400563978381,,,1.0,1.295987771583557,358,117,117,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_walker2d__inr_diffusion_history_conditioned__novel_generalization__s0,custom_mujoco_state_resampled_v2_walker2d,inr_diffusion_history_conditioned,novel_generalization,0,0.6666666666666666,1.0,0.9914529914529915,1.0,2.5942749977111816,1.0694477558135986,1.3122287972218616,0.9160127639770508,1.0341410715243828,,,1.0,0.8149857388267517,180,117,117,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_ant__inr_transformer_history_conditioned__generalization__s0,custom_mujoco_state_resampled_v2_ant,inr_transformer_history_conditioned,generalization,0,1.0,1.0,1.0,1.0,nan,0.5076333284378052,0.5679669537242905,0.39901262521743774,0.7124839145116226,,,1.0,0.8937726484069825,180,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_walker2d__inr_diffusion_history_conditioned__no_shift__s1,custom_mujoco_state_resampled_v2_walker2d,inr_diffusion_history_conditioned,no_shift,1,1.0,1.0,1.0,1.0,nan,0.12299961596727371,0.12370102591238345,0.04168393835425377,0.350713010832609,,,1.0,0.9943297968635559,358,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_ant__inr_diffusion_history_conditioned__conflation__s1,custom_mujoco_state_resampled_v2_ant,inr_diffusion_history_conditioned,conflation,1,1.0,1.0,1.0,1.0,nan,0.290078729391098,0.2924376570074897,0.12837053835391998,0.538589574157445,,,1.0,0.9919335709342957,269,58,58,19
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_hopper__cvae__generalization__s0,custom_mujoco_state_resampled_v2_hopper,cvae,generalization,0,0.9871794871794872,0.9871794871794872,1.0,1.0,nan,1.005758285522461,1.5044655948809176,0.7467113137245178,1.0028750099202097,,,1.0,0.6685153113136292,180,78,78,0
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_hopper__cvae__specialization__s1,custom_mujoco_state_resampled_v2_hopper,cvae,specialization,1,0.5,0.5,0.9736842105263158,1.0,nan,3.386720895767212,2.109183525573865,2.4661357402801514,1.8403045660344408,,,1.0,1.6057023273239135,358,38,38,38
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_hopper__inr_diffusion_history_conditioned__single_shift__s0,custom_mujoco_state_resampled_v2_hopper,inr_diffusion_history_conditioned,single_shift,0,1.0,1.0,1.0,1.0,nan,0.8428646326065063,0.5645438603719103,0.138988196849823,0.918076594084887,,,1.0,1.4930011497268676,358,58,58,19
/mnt/data/INR/outputs/mujoco/suites/state_resampled_v2/runs/custom_mujoco_state_resampled_v2/custom_mujoco_state_resampled_v2_halfcheetah__inr_diffusion_history_conditioned__specialization__s1,custom_mujoco_state_resampled_v2_halfcheetah,inr_diffusion_history_conditioned,specialization,1,1.0,1.0,1.0,1.0,nan,1.0384252071380615,0.8592153426549315,0.8507461547851562,1.0190315044875018,,,1.0,1.2085738645324706,358,38,38,38
