run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_full__inr_transformer_fitted_latent__specialization__s0,lichess_top3_full,inr_transformer_fitted_latent,specialization,0,0.5181598062953995,0.5181598062953995,0.5108958837772397,0.9467312348668281,nan,nan,nan,nan,,0.09628339140534263,5.3329837103477065,1.0,,4490,413,413,413
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__inr_transformer_fitted_latent__single_shift__s1,dmlab_seekavoid_full,inr_transformer_fitted_latent,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.3912962962962963,1.9133434323911314,1.0,,84,18,18,9
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_sa16__inr_diffusion_history_conditioned__specialization__s1,dmlab_seekavoid_sa16,inr_diffusion_history_conditioned,specialization,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,nan,nan,nan,nan,,0.2311111111111111,0.0,1.0,,118,12,12,12
/mnt/data/INR/outputs/full_suite_new_datasets/synthetic_grf_10x__inr_diffusion_history_conditioned__conflation__s0,synthetic_grf_10x,inr_diffusion_history_conditioned,conflation,0,0.9166666666666666,0.9166666666666666,0.75,1.0,nan,0.33856096863746643,0.3356289339109716,0.06351139396429062,0.5818599218346856,,,1.0,1.0087359414825439,56,12,12,3
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_sa16__inr_transformer_fitted_latent__generalization__s1,lichess_top3_sa16,inr_transformer_fitted_latent,generalization,1,0.5124740124740125,0.5124740124740125,0.5083160083160083,0.972972972972973,nan,nan,nan,nan,,0.07530197165568159,5.715679975322259,1.0,,1924,962,962,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_sa16__inr_transformer_history_conditioned__novel_generalization__s1,dmlab_seekavoid_sa16,inr_transformer_history_conditioned,novel_generalization,1,0.6666666666666666,1.0,,,3.0770013332366943,nan,nan,nan,,0.44,1.680245584154886,1.0,,26,21,21,0
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_full__cvae__novel_generalization__s0,lichess_top3_full,cvae,novel_generalization,0,0.41684064022268613,0.6226611226611226,0.35073068893528186,0.6471816283924844,6.557599067687988,nan,nan,nan,,0.0349899159024316,6.076130621282381,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__inr_transformer_fitted_latent__no_shift__s1,dmlab_seekavoid_full,inr_transformer_fitted_latent,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.567037037037037,1.1688940486201533,1.0,,84,18,18,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_sa16__inr_transformer_history_conditioned__no_shift__s0,dmlab_seekavoid_sa16,inr_transformer_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.6478571428571429,0.9514096323649088,1.0,,118,24,24,0
/mnt/data/INR/outputs/full_suite_new_datasets/synthetic_grf_10x__inr_diffusion_history_conditioned__single_shift__s0,synthetic_grf_10x,inr_diffusion_history_conditioned,single_shift,0,0.8333333333333334,0.8333333333333334,0.75,1.0,nan,0.05795752629637718,0.05740364733070566,0.03534786403179169,0.2407436941985754,,,1.0,1.0096488462219237,78,12,12,3
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__inr_diffusion_history_conditioned__specialization__s1,dmlab_seekavoid_full,inr_diffusion_history_conditioned,specialization,1,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.9444444444444444,nan,nan,nan,nan,,0.16962962962962963,0.0,1.0,,84,18,18,18
/mnt/data/INR/outputs/full_suite_new_datasets/synthetic_grf_10x__inr_transformer_history_conditioned__generalization__s0,synthetic_grf_10x,inr_transformer_history_conditioned,generalization,0,0.8888888888888888,0.8888888888888888,1.0,1.0,nan,0.613900899887085,0.5394730709252253,0.46588289737701416,0.7835182830585927,,,1.0,1.1379639373550414,34,18,18,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__inr_diffusion_history_conditioned__single_shift__s1,dmlab_seekavoid_full,inr_diffusion_history_conditioned,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.21666666666666667,0.0,1.0,,84,18,18,9
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_full__cvae__no_shift__s0,lichess_top3_full,cvae,no_shift,0,0.8222453222453222,0.8222453222453222,0.8201663201663202,0.972972972972973,nan,nan,nan,nan,,0.16385453930875188,4.784439239497655,1.0,,4490,962,962,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__cvae__single_shift__s0,dmlab_seekavoid_full,cvae,single_shift,0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,nan,nan,nan,nan,,0.4362962962962963,1.896162942956995,1.0,,84,18,18,9
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_full__inr_transformer_history_conditioned__single_shift__s0,lichess_top3_full,inr_transformer_history_conditioned,single_shift,0,0.6420289855072464,0.6420289855072464,0.5362318840579711,0.9333333333333333,nan,nan,nan,nan,,0.20724755700325734,4.531808784807932,1.0,,4490,690,690,205
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_sa16__cvae__generalization__s0,lichess_top3_sa16,cvae,generalization,0,0.5873180873180873,0.5873180873180873,0.5291060291060291,0.9594594594594594,nan,nan,nan,nan,,0.041942480493507225,6.0005643375087585,1.0,,1924,962,962,0
/mnt/data/INR/outputs/full_suite_new_datasets/synthetic_grf_10x__inr_diffusion_history_conditioned__specialization__s0,synthetic_grf_10x,inr_diffusion_history_conditioned,specialization,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,nan,0.05628158524632454,0.06771113704320685,0.03303901106119156,0.23723740271366262,,,1.0,0.8312013016471863,78,6,6,6
/mnt/data/INR/outputs/full_suite_new_datasets/synthetic_grf_10x__inr_transformer_fitted_latent__single_shift__s1,synthetic_grf_10x,inr_transformer_fitted_latent,single_shift,1,1.0,1.0,1.0,1.0,nan,0.8837115168571472,0.8443829735654981,0.6850873231887817,0.940059315605748,,,1.0,1.046576665473938,78,12,12,3
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__inr_transformer_history_conditioned__specialization__s0,dmlab_seekavoid_full,inr_transformer_history_conditioned,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.322037037037037,2.771903788248698,1.0,,84,18,18,18
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_full__inr_transformer_fitted_latent__generalization__s1,lichess_top3_full,inr_transformer_fitted_latent,generalization,1,0.5322245322245323,0.5322245322245323,0.5176715176715176,0.9667359667359667,nan,nan,nan,nan,,0.07544341037028655,5.715672639656504,1.0,,1924,962,962,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_sa16__inr_diffusion_history_conditioned__no_shift__s0,dmlab_seekavoid_sa16,inr_diffusion_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.2745238095238095,0.0,1.0,,118,24,24,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_sa16__cvae__no_shift__s1,dmlab_seekavoid_sa16,cvae,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.6033333333333334,1.0554174150739397,1.0,,118,24,24,0
/mnt/data/INR/outputs/full_suite_new_datasets/dmlab_seekavoid_full__inr_diffusion_history_conditioned__specialization__s0,dmlab_seekavoid_full,inr_diffusion_history_conditioned,specialization,0,0.9444444444444444,0.9444444444444444,1.0,1.0,nan,nan,nan,nan,,0.17425925925925925,0.0,1.0,,84,18,18,18
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_full__cvae__conflation__s1,lichess_top3_full,cvae,conflation,1,0.908695652173913,0.908695652173913,0.8130434782608695,0.9695652173913043,nan,nan,nan,nan,,0.14202115687598468,5.227856637635747,1.0,,3217,690,690,205
/mnt/data/INR/outputs/full_suite_new_datasets/synthetic_grf_10x__inr_transformer_fitted_latent__no_shift__s0,synthetic_grf_10x,inr_transformer_fitted_latent,no_shift,0,1.0,1.0,0.9444444444444444,1.0,nan,0.7594683766365051,0.727077266249862,0.5415626168251038,0.8714748284583469,,,1.0,1.044549749923706,78,18,18,0
/mnt/data/INR/outputs/full_suite_new_datasets/lichess_top3_sa16__cvae__single_shift__s0,lichess_top3_sa16,cvae,single_shift,0,0.7492753623188406,0.7492753623188406,0.7971014492753623,0.9608695652173913,nan,nan,nan,nan,,0.1495656894679696,4.911556620810112,1.0,,4490,690,690,205
