run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__cvae__novel_generalization_5p__s0,synthetic_grf_10x_5p,cvae,novel_generalization_5p,0,0.6444444444444445,0.8055555555555556,0.5111111111111111,0.8666666666666667,5.138622283935547,0.4931095540523529,0.47560280046999703,0.31008192896842957,0.7022175973673352,,,1.0,1.0368096099624633,68,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_fitted_latent__conflation_5p__s1,synthetic_grf_10x_5p,inr_transformer_fitted_latent,conflation_5p,1,0.7575757575757576,0.7575757575757576,0.48484848484848486,0.8484848484848485,nan,1.0804694890975952,1.095229021257319,0.793574333190918,1.0394563430455341,,,1.0,0.9865237937698365,151,33,33,6
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_fitted_latent__no_shift_5p__s0,synthetic_grf_10x_5p,inr_transformer_fitted_latent,no_shift_5p,0,0.7555555555555555,0.7555555555555555,0.6,0.9333333333333333,nan,1.0752078294754028,1.0452246667572116,0.8381047248840332,1.0369222870955195,,,1.0,1.0286858545074462,195,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_diffusion_history_conditioned__new_policy_5p__s1,synthetic_grf_10x_5p,inr_diffusion_history_conditioned,new_policy_5p,1,0.4888888888888889,0.6111111111111112,0.3333333333333333,0.6888888888888889,1.6751829385757446,0.033454153686761856,0.03595031271528067,0.024460041895508766,0.18290476671416153,,,1.0,0.9305664168128968,156,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_history_conditioned__specialization_5p__s0,synthetic_grf_10x_5p,inr_transformer_history_conditioned,specialization_5p,0,0.8,0.8,0.3333333333333333,0.8666666666666667,nan,0.024903036653995514,0.02735503356686593,0.008831926621496677,0.15780696009363945,,,1.0,0.9103639589080811,195,15,15,15
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_history_conditioned__novel_generalization_5p__s0,synthetic_grf_10x_5p,inr_transformer_history_conditioned,novel_generalization_5p,0,0.4666666666666667,0.5833333333333334,0.4,0.8444444444444444,4.252272605895996,0.0895315557718277,0.08635293781186028,0.0582115538418293,0.29921824104126354,,,1.0,1.0368096099624633,68,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_fitted_latent__conflation_5p__s0,synthetic_grf_10x_5p,inr_transformer_fitted_latent,conflation_5p,0,0.8484848484848485,0.8484848484848485,0.30303030303030304,0.8181818181818182,nan,1.158278226852417,1.0850040622971822,0.968994140625,1.0762333514867568,,,1.0,1.0675335393676757,151,33,33,6
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__cvae__no_shift_5p__s1,synthetic_grf_10x_5p,cvae,no_shift_5p,1,0.6888888888888889,0.6888888888888889,0.4444444444444444,0.8888888888888888,nan,0.7051824927330017,0.7368762501338622,0.4772110879421234,0.8397514469966704,,,1.0,0.9569890366325379,195,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_history_conditioned__new_policy_5p__s1,synthetic_grf_10x_5p,inr_transformer_history_conditioned,new_policy_5p,1,0.4888888888888889,0.6111111111111112,0.4,0.8,2.9924402236938477,0.010207626037299633,0.010969261143401028,0.008015704341232777,0.10103279683993527,,,1.0,0.9305664168128968,156,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_transformer_history_conditioned__specialization_5p__s1,synthetic_grf_10x_5p,inr_transformer_history_conditioned,specialization_5p,1,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.8,nan,0.023684099316596985,0.027618318600875123,0.008687316440045834,0.1538963914995962,,,1.0,0.8575503693351746,195,15,15,15
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_diffusion_history_conditioned__novel_generalization_5p__s0,synthetic_grf_10x_5p,inr_diffusion_history_conditioned,novel_generalization_5p,0,0.5555555555555556,0.6944444444444444,0.3333333333333333,0.8444444444444444,2.715144634246826,0.7462303042411804,0.7197370636525996,0.07530992478132248,0.8638462271962415,,,1.0,1.0368096099624633,68,45,45,0
/mnt/data/INR/outputs/synthetic/baseline_10x_5p/synthetic_grf_10x_5p__inr_diffusion_history_conditioned__single_shift_5p__s1,synthetic_grf_10x_5p,inr_diffusion_history_conditioned,single_shift_5p,1,0.6060606060606061,0.6060606060606061,0.3333333333333333,0.696969696969697,nan,0.03582579642534256,0.03536556147017559,0.025039421394467354,0.1892770361806803,,,1.0,1.013013647628784,195,33,33,6
