run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__cvae_rnn__no_shift_5p__s1,synthetic_grf_10x_5p,cvae_rnn,no_shift_5p,1,0.7333333333333333,0.7333333333333333,0.4444444444444444,0.8666666666666667,nan,0.6921853423118591,0.7232949551308628,0.43367698788642883,0.831976767891904,,,1.0,0.9569890366325379,195,45,45,0
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__inr_transformer_fitted_latent_shuffle__single_shift_5p__s1,synthetic_grf_10x_5p,inr_transformer_fitted_latent_shuffle,single_shift_5p,1,0.7272727272727273,0.7272727272727273,0.5151515151515151,0.9090909090909091,nan,1.0950146913528442,1.0809476199220065,0.8626261949539185,1.0464294965991947,,,1.0,1.013013647628784,195,33,33,6
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__cvae_rnn__novel_generalization_5p__s1,synthetic_grf_10x_5p,cvae_rnn,novel_generalization_5p,1,0.4222222222222222,0.5277777777777778,0.24444444444444444,0.6444444444444445,3.6106927394866943,0.5990481972694397,0.610746858599051,0.42346781492233276,0.7739820393713537,,,1.0,0.9808453188667298,68,45,45,0
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__inr_transformer_fitted_latent_shuffle__specialization_5p__s0,synthetic_grf_10x_5p,inr_transformer_fitted_latent_shuffle,specialization_5p,0,0.7333333333333333,0.7333333333333333,0.2,0.8666666666666667,nan,1.0209726095199585,1.121499373442403,0.7405508756637573,1.0104318925686968,,,1.0,0.9103639589080811,195,15,15,15
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__cvae_rnn__generalization_5p__s0,synthetic_grf_10x_5p,cvae_rnn,generalization_5p,0,0.6,0.6,0.4444444444444444,0.8666666666666667,nan,0.4768024682998657,0.44978907014053215,0.3379325866699219,0.6905088473726211,,,1.0,1.0600579248199462,85,45,45,0
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__vqvae__new_policy_5p__s0,synthetic_grf_10x_5p,vqvae,new_policy_5p,0,0.6222222222222222,0.7777777777777778,0.5333333333333333,0.9111111111111111,0.7517936825752258,0.7944483160972595,0.7803424816378396,0.5490158796310425,0.8913183023461706,,,1.0,1.0180764661560058,156,45,45,0
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__state_action_bem__specialization_5p__s0,synthetic_grf_10x_5p,state_action_bem,specialization_5p,0,0.6,0.6,0.26666666666666666,0.6,nan,0.4812251031398773,0.5286073755787452,0.3811986744403839,0.6937039016323011,,,1.0,0.9103639589080811,195,15,15,15
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__state_action_bem__single_shift_5p__s0,synthetic_grf_10x_5p,state_action_bem,single_shift_5p,0,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.8787878787878788,nan,0.5657803416252136,0.5183708652309313,0.48207345604896545,0.75218371534168,,,1.0,1.0914586053619384,195,33,33,6
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__inr_transformer_fitted_latent_shuffle__new_policy_5p__s0,synthetic_grf_10x_5p,inr_transformer_fitted_latent_shuffle,new_policy_5p,0,0.7111111111111111,0.8888888888888888,0.6,0.8888888888888888,0.018917130306363106,1.026012897491455,1.007795515955118,0.8228333592414856,1.012922947460198,,,1.0,1.0180764661560058,156,45,45,0
outputs/synthetic/baseline_10x_5p_newmodels/synthetic_grf_10x_5p__cvae_rnn__specialization_5p__s1,synthetic_grf_10x_5p,cvae_rnn,specialization_5p,1,0.8666666666666667,0.8666666666666667,0.8,0.9333333333333333,nan,0.5534720420837402,0.6454105343256111,0.39932170510292053,0.7439570162877289,,,1.0,0.8575503693351746,195,15,15,15
