run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/full_suite/minari_hopper__inr_diffusion_history_conditioned__generalization__s1,minari_hopper,inr_diffusion_history_conditioned,generalization,1,1.0,1.0,1.0,1.0,nan,1.3153527975082397,1.3244706005785032,0.9997609257698059,1.146888310825531,,,1.0,0.9931158886680603,16,8,8,0
/mnt/data/INR/outputs/full_suite/synthetic_grf__cvae__no_shift__s0,synthetic_grf,cvae,no_shift,0,1.0,1.0,0.8888888888888888,1.0,nan,0.48358458280563354,0.5402837707604371,0.30189642310142517,0.695402461029319,,,1.0,0.8950566516647339,78,18,18,0
/mnt/data/INR/outputs/full_suite/synthetic_grf__inr_diffusion_history_conditioned__single_shift__s1,synthetic_grf,inr_diffusion_history_conditioned,single_shift,1,0.9166666666666666,0.9166666666666666,1.0,1.0,nan,0.13749827444553375,0.15697231404712997,0.10137313604354858,0.3708075976103156,,,1.0,0.8759396539459229,78,12,12,3
/mnt/data/INR/outputs/full_suite/minari_ant__inr_transformer_history_conditioned__single_shift__s0,minari_ant,inr_transformer_history_conditioned,single_shift,0,1.0,1.0,1.0,1.0,nan,0.5483548045158386,0.4917625172637501,0.25576555728912354,0.7405098274269144,,,1.0,1.1150805221328735,40,6,6,2
/mnt/data/INR/outputs/full_suite/minari_halfcheetah__inr_transformer_fitted_latent__novel_generalization__s1,minari_halfcheetah,inr_transformer_fitted_latent,novel_generalization,1,0.5833333333333334,0.875,0.5833333333333334,0.6666666666666666,0.0015509161166846752,0.3486388325691223,0.3429494089109226,0.22139371931552887,0.5904564611968628,,,1.0,1.0165896878967284,16,12,12,0
/mnt/data/INR/outputs/full_suite/minari_walker2d__inr_diffusion_history_conditioned__single_shift__s1,minari_walker2d,inr_diffusion_history_conditioned,single_shift,1,1.0,1.0,1.0,1.0,nan,1.0327407121658325,1.0135601754276917,0.8313340544700623,1.0162385114557668,,,1.0,1.0189239249954223,40,6,6,2
/mnt/data/INR/outputs/full_suite/minari_hopper__inr_transformer_fitted_latent__generalization__s0,minari_hopper,inr_transformer_fitted_latent,generalization,0,0.875,0.875,0.875,1.0,nan,0.5086653232574463,0.5042059729956396,0.2534290850162506,0.7132077700484245,,,1.0,1.0088443027267455,16,8,8,0
/mnt/data/INR/outputs/full_suite/minari_humanoid__inr_diffusion_history_conditioned__no_shift__s0,minari_humanoid,inr_diffusion_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,1.2947578430175781,1.2998557985589776,1.2173123359680176,1.1378742650300069,,,1.0,0.9960780606994629,40,8,8,0
/mnt/data/INR/outputs/full_suite/minari_ant__cvae__single_shift__s1,minari_ant,cvae,single_shift,1,1.0,1.0,1.0,1.0,nan,0.45315855741500854,0.4451492957829127,0.346712201833725,0.673170526252456,,,1.0,1.017992304397583,40,6,6,2
/mnt/data/INR/outputs/full_suite/minari_walker2d__cvae__single_shift__s0,minari_walker2d,cvae,single_shift,0,1.0,1.0,1.0,1.0,nan,0.3977150619029999,0.3829051123594808,0.241648867726326,0.6306465427662312,,,1.0,1.0386778579483031,40,6,6,2
/mnt/data/INR/outputs/full_suite/minari_hopper__cvae__conflation__s1,minari_hopper,cvae,conflation,1,1.0,1.0,1.0,1.0,nan,0.38427022099494934,0.3930439161365243,0.26890984177589417,0.6198953306768404,,,1.0,0.9776775704154969,28,6,6,2
/mnt/data/INR/outputs/full_suite/minari_walker2d__cvae__specialization__s1,minari_walker2d,cvae,specialization,1,1.0,1.0,1.0,1.0,nan,0.36721110343933105,0.36197057449860953,0.251242995262146,0.6059794579351111,,,1.0,1.0144777761230468,40,4,4,4
